Input	Output
decanter : y y ; burette : r r b ; decanter : o g a g o ; decanter : e e f ; SEPARATE destroy third decanter	decanter : y y ; burette : r r b ; decanter : o g a g o ;
cup : p c o ; urn : d d ; pitcher : r ; SEPARATE add two violet to urn	cup : p c o ; urn : d d v v ; pitcher : r ;
flagon : p b b p ; vessel : v b b ; SEPARATE empty vessel	flagon : p b b p ; vessel : _ ;
vessel : a m a m ; mug : b ; jar : b ; SEPARATE destroy jar	vessel : a m a m ; mug : b ;
urn : y ; burette : a a ; beaker : e g e ; flagon : o p o d p ; SEPARATE destroy beaker	urn : y ; burette : a a ; flagon : o p o d p ;
jug : a a ; decanter : f ; decanter : f f m ; SEPARATE filter jug	jug : a a ; decanter : f ; decanter : f f m ;
vessel : v v g o ; beaker : f e e f ; SEPARATE filter beaker	vessel : v v g o ; beaker : f f e e ;
beaker : g ; bottle : e e ; SEPARATE double bottle	beaker : g ; bottle : e e e e ;
flagon : f m m a a ; flask : m b ; thermos : a ; bottle : d ; SEPARATE empty bottle	flagon : f m m a a ; flask : m b ; thermos : a ; bottle : _ ;
urn : e e o c c o ; vessel : d d f ; bottle : h ; burette : p p ; SEPARATE create bottle	urn : e e o c c o ; vessel : d d f ; bottle : h ; burette : p p ; bottle : _ ;
urn : e ; thermos : c a ; thermos : f f ; SEPARATE shift first thermos after urn	urn : e ; thermos : c a ; thermos : f f ;
pitcher : v v m ; pitcher : y o h o y h ; cup : f b e f ; SEPARATE shift last pitcher before cup	pitcher : v v m ; pitcher : y o h o y h ; cup : f b e f ;
urn : d d a a ; cup : r b b r v ; vessel : p g p b b ; SEPARATE filter vessel	urn : d d a a ; cup : r b b r v ; vessel : p p g b b ;
flask : g g ; cup : p p ; mug : y y g ; SEPARATE create mug	flask : g g ; cup : p p ; mug : y y g ; mug : _ ;
jug : y o ; flagon : e c p ; vessel : p b v b p ; SEPARATE double vessel	jug : y o ; flagon : e c p ; vessel : p b v b p p b v b p ;
pitcher : b m m ; beaker : d h d e e ; flagon : v g g v m ; beaker : e e ; SEPARATE destroy pitcher	beaker : d h d e e ; flagon : v g g v m ; beaker : e e ;
canister : v r r ; thermos : a e a e ; SEPARATE add two red to thermos	canister : v r r ; thermos : a e a e r r ;
flask : v f ; beaker : y ; mug : p f f p ; SEPARATE double mug	flask : v f ; beaker : y ; mug : p f f p p f f p ;
glass : y ; glass : p b p ; beaker : b f e ; SEPARATE shift first glass before beaker	glass : p b p ; glass : y ; beaker : b f e ;
beaker : r a g ; jug : v v c c m ; thermos : h e o ; jug : r v r e ; SEPARATE empty second jug	beaker : r a g ; jug : v v c c m ; thermos : h e o ; jug : _ ;
flask : m ; decanter : e y c ; SEPARATE create vessel	flask : m ; decanter : e y c ; vessel : _ ;
mug : g g ; vessel : h v h v ; cup : b b ; glass : a y p ; SEPARATE add six purple to cup	mug : g g ; vessel : h v h v ; cup : b b p p p p p p ; glass : a y p ;
pitcher : a ; jar : h h ; urn : a c ; SEPARATE shift jar before urn	pitcher : a ; jar : h h ; urn : a c ;
beaker : d d ; bottle : o o ; pitcher : d d f f ; SEPARATE shift pitcher before bottle	beaker : d d ; pitcher : d d f f ; bottle : o o ;
jar : d a d a ; burette : h h ; decanter : y d e ; urn : m m ; SEPARATE filter urn	jar : d a d a ; burette : h h ; decanter : y d e ; urn : m m ;
mug : d h f f ; glass : v f f ; glass : d d ; jug : b ; SEPARATE add four harlequin to mug	mug : d h f f h h h h ; glass : v f f ; glass : d d ; jug : b ;
pitcher : v a v a ; decanter : f f y y g ; glass : r o r ; SEPARATE shift pitcher after glass	decanter : f f y y g ; glass : r o r ; pitcher : v a v a ;
glass : c p p ; jar : b v b v ; glass : f g g p p ; SEPARATE filter last glass	glass : c p p ; jar : b v b v ; glass : f g g p p ;
decanter : y d y ; burette : r o v ; flask : y y a c a ; SEPARATE destroy flask	decanter : y d y ; burette : r o v ;
flask : o h h ; cup : y y ; SEPARATE create jar	flask : o h h ; cup : y y ; jar : _ ;
mug : v a v c ; decanter : h h e e ; SEPARATE filter decanter	mug : v a v c ; decanter : h h e e ;
beaker : o o p ; pitcher : m g g c m ; jug : p p h h ; SEPARATE empty beaker	beaker : _ ; pitcher : m g g c m ; jug : p p h h ;
thermos : b p g p ; bottle : m v o o v ; burette : d r o ; burette : h ; SEPARATE empty bottle	thermos : b p g p ; bottle : _ ; burette : d r o ; burette : h ;
urn : c ; mug : a g g ; jar : y y o p ; thermos : p v d d ; SEPARATE destroy urn	mug : a g g ; jar : y y o p ; thermos : p v d d ;
bottle : r c v r v ; bottle : p d o ; SEPARATE empty first bottle	bottle : _ ; bottle : p d o ;
cup : f m d m f d ; burette : o ; bottle : o ; glass : h r h ; SEPARATE filter glass	cup : f m d m f d ; burette : o ; bottle : o ; glass : h h r ;
vessel : a ; cup : d d o o ; SEPARATE shift vessel after cup	cup : d d o o ; vessel : a ;
cup : v h h v ; jar : a m a m y ; mug : v d f v f ; mug : a a ; SEPARATE destroy first mug	cup : v h h v ; jar : a m a m y ; mug : a a ;
jar : o ; glass : y ; jar : e e f r ; SEPARATE filter last jar	jar : o ; glass : y ; jar : e e f r ;
jar : g f h h ; mug : h p ; SEPARATE create flask	jar : g f h h ; mug : h p ; flask : _ ;
flagon : c v c ; bottle : v ; urn : y y e e ; decanter : a ; SEPARATE add two harlequin to bottle	flagon : c v c ; bottle : v h h ; urn : y y e e ; decanter : a ;
mug : g f g ; jug : b a h h b a ; cup : e ; flagon : e e a ; SEPARATE add six violet to cup	mug : g f g ; jug : b a h h b a ; cup : e v v v v v v ; flagon : e e a ;
jug : c c v ; jug : a a ; SEPARATE shift first jug after last jug	jug : a a ; jug : c c v ;
burette : p p y g ; decanter : g b g ; urn : v f p ; SEPARATE double decanter	burette : p p y g ; decanter : g b g g b g ; urn : v f p ;
flask : h h f f ; burette : r p b ; flask : p p c c a ; SEPARATE add four fuchsia to burette	flask : h h f f ; burette : r p b f f f f ; flask : p p c c a ;
mug : h h c c ; cup : a d ; pitcher : o f m f o ; SEPARATE add five orange to pitcher	mug : h h c c ; cup : a d ; pitcher : o f m f o o o o o o ;
urn : m o ; urn : o o f ; flask : m ; jar : e a e ; SEPARATE empty last urn	urn : m o ; urn : _ ; flask : m ; jar : e a e ;
thermos : o f c f o ; bottle : h c h c ; SEPARATE destroy bottle	thermos : o f c f o ;
glass : f y g y f ; pitcher : h ; mug : f f p c c p ; canister : y ; SEPARATE create thermos	glass : f y g y f ; pitcher : h ; mug : f f p c c p ; canister : y ; thermos : _ ;
thermos : r a r ; beaker : o h o ; thermos : d v p ; SEPARATE add three purple to last thermos	thermos : r a r ; beaker : o h o ; thermos : d v p p p p ;
jug : a f a ; jar : v v ; urn : f h h p p ; glass : o o ; SEPARATE empty jar	jug : a f a ; jar : _ ; urn : f h h p p ; glass : o o ;
decanter : h g g ; vessel : d o v o ; SEPARATE destroy decanter	vessel : d o v o ;
flask : f h ; beaker : g g ; flagon : e e ; SEPARATE empty beaker	flask : f h ; beaker : _ ; flagon : e e ;
canister : v v ; thermos : d ; urn : p p y ; SEPARATE shift canister before thermos	canister : v v ; thermos : d ; urn : p p y ;
decanter : a a c c ; mug : b d d c c ; canister : g ; SEPARATE filter canister	decanter : a a c c ; mug : b d d c c ; canister : g ;
flask : a f ; jug : v c ; vessel : o f o h h f ; flask : c ; SEPARATE empty first flask	flask : _ ; jug : v c ; vessel : o f o h h f ; flask : c ;
jar : d m c c ; decanter : g ; jug : c y c ; SEPARATE empty decanter	jar : d m c c ; decanter : _ ; jug : c y c ;
burette : b p b h p ; vessel : e f e r ; flask : y y h d h ; SEPARATE add six violet to burette	burette : b p b h p v v v v v v ; vessel : e f e r ; flask : y y h d h ;
flask : p ; vessel : p o p ; pitcher : b e b ; canister : m o o ; SEPARATE add four purple to canister	flask : p ; vessel : p o p ; pitcher : b e b ; canister : m o o p p p p ;
bottle : y ; thermos : m b ; beaker : a p h ; burette : b b ; SEPARATE shift burette before beaker	bottle : y ; thermos : m b ; burette : b b ; beaker : a p h ;
urn : c g c ; pitcher : g r r ; beaker : h ; SEPARATE filter urn	urn : c c g ; pitcher : g r r ; beaker : h ;
bottle : b b r v ; glass : e p e ; flagon : y d g y ; SEPARATE shift flagon before glass	bottle : b b r v ; flagon : y d g y ; glass : e p e ;
vessel : m m ; jar : f f m g g m ; thermos : h a h a ; SEPARATE add five fuchsia to vessel	vessel : m m f f f f f ; jar : f f m g g m ; thermos : h a h a ;
pitcher : r r e v ; burette : h m m ; flagon : v ; burette : b b v d ; SEPARATE empty flagon	pitcher : r r e v ; burette : h m m ; flagon : _ ; burette : b b v d ;
canister : f f ; jug : b b f r f ; flask : m m c ; vessel : p y e p e ; SEPARATE add two harlequin to canister	canister : f f h h ; jug : b b f r f ; flask : m m c ; vessel : p y e p e ;
thermos : d d h h m ; bottle : g p ; SEPARATE shift thermos after bottle	bottle : g p ; thermos : d d h h m ;
mug : g y y m m g ; jug : y ; burette : r r ; jug : e ; SEPARATE destroy last jug	mug : g y y m m g ; jug : y ; burette : r r ;
canister : h h ; canister : o m m y o ; vessel : a a ; SEPARATE create flagon	canister : h h ; canister : o m m y o ; vessel : a a ; flagon : _ ;
beaker : m m o ; decanter : b v h ; SEPARATE destroy decanter	beaker : m m o ;
pitcher : f ; burette : a ; SEPARATE filter pitcher	pitcher : f ; burette : a ;
flask : r r ; decanter : g r g ; SEPARATE destroy flask	decanter : g r g ;
burette : g p g b b ; glass : p m p ; urn : y ; SEPARATE create jug	burette : g p g b b ; glass : p m p ; urn : y ; jug : _ ;
urn : r r d c c d ; vessel : f f ; SEPARATE shift urn before vessel	urn : r r d c c d ; vessel : f f ;
thermos : g ; burette : c c ; urn : v ; flask : m m c c ; SEPARATE destroy burette	thermos : g ; urn : v ; flask : m m c c ;
urn : g p ; decanter : r o p ; jar : d ; SEPARATE filter urn	urn : g p ; decanter : r o p ; jar : d ;
jar : h h ; flagon : g ; urn : a a v e ; thermos : e v v f ; SEPARATE destroy urn	jar : h h ; flagon : g ; thermos : e v v f ;
beaker : v o ; burette : a a h h v ; decanter : d a ; pitcher : d d ; SEPARATE shift burette after pitcher	beaker : v o ; decanter : d a ; pitcher : d d ; burette : a a h h v ;
decanter : b b o ; burette : r r f ; SEPARATE double burette	decanter : b b o ; burette : r r f r r f ;
beaker : c r y r ; thermos : a b g ; canister : h a m a ; SEPARATE create decanter	beaker : c r y r ; thermos : a b g ; canister : h a m a ; decanter : _ ;
pitcher : p c ; cup : d h d ; SEPARATE empty cup	pitcher : p c ; cup : _ ;
cup : c c h g h ; burette : f ; beaker : a ; SEPARATE destroy burette	cup : c c h g h ; beaker : a ;
flask : a e ; mug : d ; flagon : r r ; thermos : m d r ; SEPARATE filter flask	flask : a e ; mug : d ; flagon : r r ; thermos : m d r ;
jar : v ; urn : v e ; pitcher : d b d c ; beaker : c ; SEPARATE destroy pitcher	jar : v ; urn : v e ; beaker : c ;
jug : o b b o v ; bottle : b p b ; flagon : e y a e ; SEPARATE shift flagon after bottle	jug : o b b o v ; bottle : b p b ; flagon : e y a e ;
cup : c v b v b ; cup : y y ; cup : o ; jar : r r ; SEPARATE add five violet to last cup	cup : c v b v b ; cup : y y ; cup : o v v v v v ; jar : r r ;
bottle : g h g ; flask : y h o o y ; flagon : y a y c a ; beaker : y f y f ; SEPARATE add four emberiae to flask	bottle : g h g ; flask : y h o o y e e e e ; flagon : y a y c a ; beaker : y f y f ;
beaker : y y o ; bottle : b b h h r r ; SEPARATE shift beaker after bottle	bottle : b b h h r r ; beaker : y y o ;
thermos : p p ; burette : a a ; thermos : o c v ; SEPARATE shift burette after second thermos	thermos : p p ; thermos : o c v ; burette : a a ;
jar : h b ; thermos : m m d c d ; urn : v p v g p ; pitcher : f r y ; SEPARATE empty thermos	jar : h b ; thermos : _ ; urn : v p v g p ; pitcher : f r y ;
bottle : g d ; pitcher : o m ; jar : c o ; urn : m m ; SEPARATE shift pitcher after bottle	bottle : g d ; pitcher : o m ; jar : c o ; urn : m m ;
pitcher : o h h o ; cup : d y d y ; flagon : b r r f ; jar : h m p m ; SEPARATE add four cabernet to pitcher	pitcher : o h h o c c c c ; cup : d y d y ; flagon : b r r f ; jar : h m p m ;
mug : v r r ; urn : c r r a ; urn : e b b ; SEPARATE create mug	mug : v r r ; urn : c r r a ; urn : e b b ; mug : _ ;
glass : a p f p f a ; jug : p o o r ; SEPARATE double jug	glass : a p f p f a ; jug : p o o r p o o r ;
pitcher : m m h g g h ; decanter : p p ; jar : c c ; SEPARATE destroy decanter	pitcher : m m h g g h ; jar : c c ;
burette : h h m b b ; bottle : d d ; flagon : e e ; burette : o ; SEPARATE double first burette	burette : h h m b b h h m b b ; bottle : d d ; flagon : e e ; burette : o ;
pitcher : g c c v g ; flask : y g c g ; SEPARATE filter pitcher	pitcher : g g c c v ; flask : y g c g ;
decanter : m r r p m p ; thermos : a g a g ; glass : g g ; SEPARATE add four yellow to decanter	decanter : m r r p m p y y y y ; thermos : a g a g ; glass : g g ;
mug : v g ; bottle : h m v v ; glass : m g a g a ; urn : o b e ; SEPARATE shift mug after urn	bottle : h m v v ; glass : m g a g a ; urn : o b e ; mug : v g ;
pitcher : c ; burette : r f b r b f ; SEPARATE create jug	pitcher : c ; burette : r f b r b f ; jug : _ ;
cup : r ; glass : y y ; flagon : v v ; beaker : a ; SEPARATE shift beaker after flagon	cup : r ; glass : y y ; flagon : v v ; beaker : a ;
urn : v r f f v ; vessel : v ; mug : p f v v f p ; SEPARATE add three emberiae to vessel	urn : v r f f v ; vessel : v e e e ; mug : p f v v f p ;
burette : m h ; burette : o f f ; SEPARATE shift first burette after second burette	burette : o f f ; burette : m h ;
glass : e h h e o ; jug : e d f ; burette : y ; SEPARATE filter glass	glass : e e h h o ; jug : e d f ; burette : y ;
cup : g ; decanter : f f ; jug : g r r g ; SEPARATE empty decanter	cup : g ; decanter : _ ; jug : g r r g ;
decanter : c c ; vessel : g g o ; SEPARATE empty vessel	decanter : c c ; vessel : _ ;
bottle : m b m ; cup : a h ; glass : h r h c ; SEPARATE destroy bottle	cup : a h ; glass : h r h c ;
jug : h c c e h e ; glass : h ; SEPARATE empty jug	jug : _ ; glass : h ;
canister : g g o p ; beaker : v ; SEPARATE empty canister	canister : _ ; beaker : v ;
thermos : a ; flagon : b g b ; SEPARATE destroy thermos	flagon : b g b ;
glass : b o y b y o ; decanter : c e e a a ; SEPARATE create pitcher	glass : b o y b y o ; decanter : c e e a a ; pitcher : _ ;
flagon : p a p d d ; mug : a g ; vessel : c m o o c ; canister : a c a ; SEPARATE shift mug after canister	flagon : p a p d d ; vessel : c m o o c ; canister : a c a ; mug : a g ;
flagon : e e a ; bottle : c c f ; bottle : b c b c ; SEPARATE shift last bottle before first bottle	flagon : e e a ; bottle : b c b c ; bottle : c c f ;
jar : g y y d ; vessel : m y m v v y ; thermos : f f ; SEPARATE add two cabernet to vessel	jar : g y y d ; vessel : m y m v v y c c ; thermos : f f ;
bottle : o o ; cup : m e ; burette : d y d y f f ; flagon : o ; SEPARATE shift flagon before bottle	flagon : o ; bottle : o o ; cup : m e ; burette : d y d y f f ;
pitcher : y y ; bottle : c c v ; bottle : h y f ; jar : v m m ; SEPARATE destroy last bottle	pitcher : y y ; bottle : c c v ; jar : v m m ;
flask : e e ; thermos : m m e ; SEPARATE add two red to thermos	flask : e e ; thermos : m m e r r ;
burette : h f v h ; pitcher : e ; canister : e e a ; thermos : a ; SEPARATE shift thermos after burette	burette : h f v h ; thermos : a ; pitcher : e ; canister : e e a ;
decanter : h h a v v a ; beaker : c c e e p ; SEPARATE create thermos	decanter : h h a v v a ; beaker : c c e e p ; thermos : _ ;
mug : p e b e ; pitcher : a r a r ; vessel : c f f c b ; SEPARATE add six blue to mug	mug : p e b e b b b b b b ; pitcher : a r a r ; vessel : c f f c b ;
thermos : r f c f r ; decanter : e m e m a ; SEPARATE destroy thermos	decanter : e m e m a ;
burette : b b ; glass : h p p ; burette : v ; cup : g a g v v ; SEPARATE destroy last burette	burette : b b ; glass : h p p ; cup : g a g v v ;
jar : h h d d ; canister : o ; pitcher : p e r e ; SEPARATE create burette	jar : h h d d ; canister : o ; pitcher : p e r e ; burette : _ ;
mug : d c ; burette : p y p y ; bottle : a a d ; bottle : o o ; SEPARATE double first bottle	mug : d c ; burette : p y p y ; bottle : a a d a a d ; bottle : o o ;
mug : v r h ; flask : g g c c ; SEPARATE double mug	mug : v r h v r h ; flask : g g c c ;
canister : o o g ; decanter : o o g v v ; SEPARATE double canister	canister : o o g o o g ; decanter : o o g v v ;
jar : m v ; canister : c e ; SEPARATE filter canister	jar : m v ; canister : c e ;
flask : g g b ; flask : m o g g m ; canister : m g g f ; SEPARATE create decanter	flask : g g b ; flask : m o g g m ; canister : m g g f ; decanter : _ ;
flask : f v f v ; jug : g o g ; SEPARATE double jug	flask : f v f v ; jug : g o g g o g ;
flagon : m a m ; jar : f ; SEPARATE shift flagon before jar	flagon : m a m ; jar : f ;
decanter : y ; bottle : a e ; SEPARATE shift decanter before bottle	decanter : y ; bottle : a e ;
flagon : y y ; flagon : a a ; cup : r ; SEPARATE add one violet to last flagon	flagon : y y ; flagon : a a v ; cup : r ;
jug : p e ; cup : c o c r ; SEPARATE shift cup before jug	cup : c o c r ; jug : p e ;
urn : f a h a f ; decanter : m m h c h ; SEPARATE destroy urn	decanter : m m h c h ;
thermos : f g ; urn : y y ; vessel : c c ; SEPARATE add three daffodil to vessel	thermos : f g ; urn : y y ; vessel : c c d d d ;
flagon : v v b ; urn : b a e a ; jug : h p p m ; beaker : b m v b v ; SEPARATE double beaker	flagon : v v b ; urn : b a e a ; jug : h p p m ; beaker : b m v b v b m v b v ;
bottle : p h p ; bottle : y p b p y ; decanter : g g ; SEPARATE create urn	bottle : p h p ; bottle : y p b p y ; decanter : g g ; urn : _ ;
glass : e m ; flask : c m y y ; jug : g a h ; canister : p p ; SEPARATE empty jug	glass : e m ; flask : c m y y ; jug : _ ; canister : p p ;
jar : d m m p ; mug : m h h ; decanter : y o o ; SEPARATE double jar	jar : d m m p d m m p ; mug : m h h ; decanter : y o o ;
pitcher : b b r g g r ; cup : y ; SEPARATE empty cup	pitcher : b b r g g r ; cup : _ ;
flagon : a ; flask : e e ; vessel : c c ; SEPARATE double flagon	flagon : a a ; flask : e e ; vessel : c c ;
canister : g y ; burette : y v o o ; urn : m m g ; jar : c v v r ; SEPARATE add one fuchsia to burette	canister : g y ; burette : y v o o f ; urn : m m g ; jar : c v v r ;
vessel : f ; beaker : d ; flagon : c b p b c ; glass : p p ; SEPARATE create canister	vessel : f ; beaker : d ; flagon : c b p b c ; glass : p p ; canister : _ ;
flask : p y y ; urn : o h o d ; SEPARATE add one harlequin to urn	flask : p y y ; urn : o h o d h ;
jar : e g g e ; jar : f f g g ; SEPARATE add one emberiae to first jar	jar : e g g e e ; jar : f f g g ;
burette : r m f ; canister : v c v ; vessel : r y e r e ; flagon : c y c m ; SEPARATE filter burette	burette : r m f ; canister : v c v ; vessel : r y e r e ; flagon : c y c m ;
pitcher : h h d d r ; bottle : f y ; jug : o y p p ; SEPARATE shift bottle before jug	pitcher : h h d d r ; bottle : f y ; jug : o y p p ;
pitcher : p d d ; vessel : g ; beaker : f r f ; bottle : m ; SEPARATE empty bottle	pitcher : p d d ; vessel : g ; beaker : f r f ; bottle : _ ;
pitcher : b ; mug : r h h r y ; SEPARATE create flagon	pitcher : b ; mug : r h h r y ; flagon : _ ;
flask : g ; flask : d d ; SEPARATE filter last flask	flask : g ; flask : d d ;
pitcher : c ; flagon : v ; jar : p p ; jug : g y ; SEPARATE shift pitcher before jug	flagon : v ; jar : p p ; pitcher : c ; jug : g y ;
urn : m m r r ; jug : b o b ; flask : a a ; flask : v h h ; SEPARATE create cup	urn : m m r r ; jug : b o b ; flask : a a ; flask : v h h ; cup : _ ;
thermos : b m h m b h ; bottle : v e e ; jar : e e o o ; SEPARATE empty bottle	thermos : b m h m b h ; bottle : _ ; jar : e e o o ;
glass : h c g c h ; glass : b g g ; burette : h h ; jug : v ; SEPARATE empty jug	glass : h c g c h ; glass : b g g ; burette : h h ; jug : _ ;
urn : m e m d d ; urn : a y y f ; SEPARATE destroy first urn	urn : a y y f ;
thermos : d ; bottle : r r v v ; mug : g o o ; SEPARATE create vessel	thermos : d ; bottle : r r v v ; mug : g o o ; vessel : _ ;
decanter : r r ; thermos : y b b y m ; SEPARATE double decanter	decanter : r r r r ; thermos : y b b y m ;
vessel : b ; cup : r d ; SEPARATE filter vessel	vessel : b ; cup : r d ;
vessel : o o ; decanter : r ; mug : p d m p m d ; SEPARATE filter decanter	vessel : o o ; decanter : r ; mug : p d m p m d ;
mug : m g m r ; jug : c y c ; glass : m m ; decanter : b h b h ; SEPARATE add five cabernet to decanter	mug : m g m r ; jug : c y c ; glass : m m ; decanter : b h b h c c c c c ;
jug : b ; burette : h h ; beaker : y y o ; SEPARATE add one violet to burette	jug : b ; burette : h h v ; beaker : y y o ;
beaker : d d ; jar : a a f h h ; flagon : p f a f p ; SEPARATE shift beaker after flagon	jar : a a f h h ; flagon : p f a f p ; beaker : d d ;
flask : e e ; jug : a a v v e ; bottle : o o ; jug : o h o m ; SEPARATE filter second jug	flask : e e ; jug : a a v v e ; bottle : o o ; jug : o o h m ;
vessel : e e y ; vessel : c a f ; beaker : m o m ; bottle : o o e ; SEPARATE double bottle	vessel : e e y ; vessel : c a f ; beaker : m o m ; bottle : o o e o o e ;
jug : g c ; bottle : d d e g e ; jar : p p ; flask : b f f ; SEPARATE double flask	jug : g c ; bottle : d d e g e ; jar : p p ; flask : b f f b f f ;
bottle : y y ; flagon : c v y c ; SEPARATE destroy bottle	flagon : c v y c ;
