Input	Output
thermos : v o g g v o ; flask : f f a a ; SEPARATE create urn	thermos : v o g g v o ; flask : f f a a ; urn : _ ;
decanter : o o ; jug : b b ; jar : p b b v v ; SEPARATE create glass	decanter : o o ; jug : b b ; jar : p b b v v ; glass : _ ;
jar : a a m r ; canister : v ; SEPARATE unmix canister	jar : a a m r ; canister : v ;
bottle : v v ; bottle : h h d ; SEPARATE empty first bottle	bottle : _ ; bottle : h h d ;
canister : c c ; canister : h a a h m m ; SEPARATE filter last canister	canister : c c ; canister : h h a a m m ;
bottle : p h p ; bottle : y p b p y ; decanter : g g ; SEPARATE create urn	bottle : p h p ; bottle : y p b p y ; decanter : g g ; urn : _ ;
glass : v f f v ; flagon : d o h h ; SEPARATE shift flagon before glass	flagon : d o h h ; glass : v f f v ;
glass : v a ; cup : m h h a m a ; thermos : d y d ; SEPARATE create pitcher	glass : v a ; cup : m h h a m a ; thermos : d y d ; pitcher : _ ;
mug : v v p ; bottle : e ; bottle : d d h ; SEPARATE add two blue to mug	mug : v v p b b ; bottle : e ; bottle : d d h ;
jug : a v ; pitcher : e e v f ; jug : v ; SEPARATE filter first jug	jug : a v ; pitcher : e e v f ; jug : v ;
urn : g g ; jug : b v m v ; SEPARATE destroy urn	jug : b v m v ;
urn : y g g ; mug : r b b r m ; cup : y y ; SEPARATE destroy mug	urn : y g g ; cup : y y ;
jar : f c f ; cup : d d b ; glass : b b a g ; SEPARATE double cup	jar : f c f ; cup : d d b d d b ; glass : b b a g ;
beaker : r h ; burette : e e ; SEPARATE shift beaker before burette	beaker : r h ; burette : e e ;
burette : y m y ; cup : o o ; beaker : e e o o m m ; SEPARATE create cup	burette : y m y ; cup : o o ; beaker : e e o o m m ; cup : _ ;
beaker : o o e ; bottle : p ; SEPARATE filter bottle	beaker : o o e ; bottle : p ;
jug : c c d d ; flagon : a a p c ; flask : m a ; bottle : c p c o ; SEPARATE filter jug	jug : c c d d ; flagon : a a p c ; flask : m a ; bottle : c p c o ;
pitcher : m m h d d ; urn : d h a h a ; SEPARATE filter pitcher	pitcher : m m h d d ; urn : d h a h a ;
thermos : a g m ; pitcher : f f ; pitcher : v v g g ; thermos : e f y f ; SEPARATE shift second pitcher after last thermos	thermos : a g m ; pitcher : f f ; thermos : e f y f ; pitcher : v v g g ;
jug : m d p d ; glass : y d d y ; canister : p a ; SEPARATE destroy glass	jug : m d p d ; canister : p a ;
vessel : b e r e ; burette : p p ; glass : e e f f r ; SEPARATE double burette	vessel : b e r e ; burette : p p p p ; glass : e e f f r ;
beaker : y y ; cup : p ; bottle : d ; burette : h ; SEPARATE filter beaker	beaker : y y ; cup : p ; bottle : d ; burette : h ;
cup : b b ; flask : o v g ; SEPARATE empty cup	cup : _ ; flask : o v g ;
flagon : y y ; flask : h b b h ; canister : o a a ; SEPARATE double flask	flagon : y y ; flask : h b b h h b b h ; canister : o a a ;
jug : d r r d y ; flask : h f ; SEPARATE unmix jug	jug : d d ; jug : r r ; jug : y ; flask : h f ;
jug : r f h ; urn : v v ; glass : r ; burette : m c m e ; SEPARATE add three harlequin to glass	jug : r f h ; urn : v v ; glass : r h h h ; burette : m c m e ;
jug : h h e e ; thermos : e e ; SEPARATE empty jug	jug : _ ; thermos : e e ;
canister : a p ; glass : f f p p h ; canister : y p ; jug : a a g ; SEPARATE destroy glass	canister : a p ; canister : y p ; jug : a a g ;
urn : b b ; glass : a m ; SEPARATE double glass	urn : b b ; glass : a m a m ;
bottle : p ; urn : o h ; burette : g g h ; flask : v v ; SEPARATE shift urn before flask	bottle : p ; burette : g g h ; urn : o h ; flask : v v ;
jug : b b ; thermos : o o ; thermos : v f f d ; SEPARATE empty last thermos	jug : b b ; thermos : o o ; thermos : _ ;
vessel : p p ; canister : b ; glass : y b ; urn : v o v ; SEPARATE destroy glass	vessel : p p ; canister : b ; urn : v o v ;
jar : y d d c y c ; jar : y a m a m ; SEPARATE filter second jar	jar : y d d c y c ; jar : y a a m m ;
urn : f ; bottle : b f b f ; flask : b c e c ; vessel : o b y y o ; SEPARATE double flask	urn : f ; bottle : b f b f ; flask : b c e c b c e c ; vessel : o b y y o ;
burette : a ; vessel : o a a r o ; SEPARATE filter burette	burette : a ; vessel : o a a r o ;
jug : h h ; jar : p p ; pitcher : y r y o r ; thermos : o c m c o ; SEPARATE destroy thermos	jug : h h ; jar : p p ; pitcher : y r y o r ;
beaker : e e h v h ; jar : o o ; decanter : h y v h y ; SEPARATE create pitcher	beaker : e e h v h ; jar : o o ; decanter : h y v h y ; pitcher : _ ;
glass : d ; canister : p d p d ; vessel : p e h p h ; SEPARATE double canister	glass : d ; canister : p d p d p d p d ; vessel : p e h p h ;
mug : y y ; vessel : d d ; cup : o ; thermos : v c d d ; SEPARATE unmix mug	mug : y y ; vessel : d d ; cup : o ; thermos : v c d d ;
vessel : p ; bottle : p y y ; SEPARATE shift vessel before bottle	vessel : p ; bottle : p y y ;
jug : o c c ; thermos : f o f o r ; flagon : o d d ; SEPARATE double jug	jug : o c c o c c ; thermos : f o f o r ; flagon : o d d ;
mug : c ; pitcher : d p r p ; SEPARATE filter pitcher	mug : c ; pitcher : d p p r ;
jug : g g ; cup : c c o v o ; cup : f f ; SEPARATE shift jug after last cup	cup : c c o v o ; cup : f f ; jug : g g ;
jar : h e y ; glass : g g b ; SEPARATE double glass	jar : h e y ; glass : g g b g g b ;
cup : g r o ; thermos : p ; vessel : a a g ; jar : y c c ; SEPARATE filter vessel	cup : g r o ; thermos : p ; vessel : a a g ; jar : y c c ;
flask : g c ; mug : f d f d ; jar : v ; SEPARATE double mug	flask : g c ; mug : f d f d f d f d ; jar : v ;
bottle : y y ; beaker : b b p ; flagon : r h r b b h ; urn : e ; SEPARATE destroy flagon	bottle : y y ; beaker : b b p ; urn : e ;
pitcher : r c c ; jar : g o r o g ; vessel : b p h p b ; jar : f f ; SEPARATE add four orange to first jar	pitcher : r c c ; jar : g o r o g o o o o ; vessel : b p h p b ; jar : f f ;
vessel : g o o ; beaker : r m a m a ; SEPARATE add five violet to vessel	vessel : g o o v v v v v ; beaker : r m a m a ;
flagon : e e f ; flask : d ; SEPARATE unmix flagon	flagon : e e ; flagon : f ; flask : d ;
glass : e m ; flask : c m y y ; jug : g a h ; canister : p p ; SEPARATE empty jug	glass : e m ; flask : c m y y ; jug : _ ; canister : p p ;
urn : p v p h h ; vessel : o o ; thermos : r r f ; SEPARATE unmix thermos	urn : p v p h h ; vessel : o o ; thermos : r r ; thermos : f ;
flagon : r r ; jar : r ; SEPARATE filter flagon	flagon : r r ; jar : r ;
thermos : p ; flagon : o o ; burette : m a m a ; SEPARATE unmix thermos	thermos : p ; flagon : o o ; burette : m a m a ;
burette : f f ; jug : r ; flagon : g a c g c ; canister : h p p h a ; SEPARATE add four red to flagon	burette : f f ; jug : r ; flagon : g a c g c r r r r ; canister : h p p h a ;
beaker : c e c ; flagon : p p ; jug : r ; bottle : f f ; SEPARATE shift jug after bottle	beaker : c e c ; flagon : p p ; bottle : f f ; jug : r ;
jar : p y y ; canister : h h b b v ; SEPARATE empty canister	jar : p y y ; canister : _ ;
flagon : v g o v ; flagon : g g ; SEPARATE empty last flagon	flagon : v g o v ; flagon : _ ;
jar : a h ; jar : f f d d ; SEPARATE double last jar	jar : a h ; jar : f f d d f f d d ;
beaker : m g m g ; burette : y y r ; vessel : g f f g ; SEPARATE unmix burette	beaker : m g m g ; burette : y y ; burette : r ; vessel : g f f g ;
urn : o r r a a ; glass : f ; cup : p h ; SEPARATE shift urn before glass	urn : o r r a a ; glass : f ; cup : p h ;
pitcher : f ; burette : a ; SEPARATE filter pitcher	pitcher : f ; burette : a ;
mug : f p p c ; beaker : m ; flask : y f o y ; SEPARATE add one aqua to mug	mug : f p p c a ; beaker : m ; flask : y f o y ;
mug : p y e p ; jar : c c ; glass : v p g v ; jug : e b e ; SEPARATE double jug	mug : p y e p ; jar : c c ; glass : v p g v ; jug : e b e e b e ;
flask : m y r y r m ; cup : b ; SEPARATE empty flask	flask : _ ; cup : b ;
burette : o p o ; jug : r r ; decanter : c b c g b g ; cup : v v e e ; SEPARATE double decanter	burette : o p o ; jug : r r ; decanter : c b c g b g c b c g b g ; cup : v v e e ;
bottle : y y m m ; urn : p p ; pitcher : c v v c f f ; SEPARATE empty pitcher	bottle : y y m m ; urn : p p ; pitcher : _ ;
beaker : p ; beaker : f ; flask : o o ; decanter : m m o o g ; SEPARATE empty last beaker	beaker : p ; beaker : _ ; flask : o o ; decanter : m m o o g ;
vessel : v c c v ; glass : c m m e c ; jar : v e m e v m ; burette : e e ; SEPARATE filter jar	vessel : v c c v ; glass : c m m e c ; jar : v v e e m m ; burette : e e ;
mug : p m m ; jar : h a h ; flask : y m f m f y ; canister : m p m e ; SEPARATE filter mug	mug : p m m ; jar : h a h ; flask : y m f m f y ; canister : m p m e ;
jug : h y h p y ; urn : o o ; mug : f g f g c ; SEPARATE create beaker	jug : h y h p y ; urn : o o ; mug : f g f g c ; beaker : _ ;
bottle : r f a r ; flask : f o ; SEPARATE create burette	bottle : r f a r ; flask : f o ; burette : _ ;
pitcher : o e y y ; flagon : a f ; urn : a a e ; SEPARATE shift pitcher before urn	flagon : a f ; pitcher : o e y y ; urn : a a e ;
pitcher : r d m d r ; bottle : p f a f a p ; SEPARATE unmix bottle	pitcher : r d m d r ; bottle : p p ; bottle : f f ; bottle : a a ;
jug : d a a ; urn : r h h r g ; SEPARATE unmix urn	jug : d a a ; urn : r r ; urn : h h ; urn : g ;
glass : g y y ; thermos : b ; SEPARATE destroy thermos	glass : g y y ;
jug : e e ; glass : m c c m g ; glass : g o o g ; burette : h b f f ; SEPARATE shift first glass after jug	jug : e e ; glass : m c c m g ; glass : g o o g ; burette : h b f f ;
decanter : g v v ; jug : d d ; urn : m d ; burette : b o p b ; SEPARATE filter burette	decanter : g v v ; jug : d d ; urn : m d ; burette : b b o p ;
beaker : p p m m ; mug : m ; SEPARATE destroy beaker	mug : m ;
burette : f ; mug : m o a o a m ; SEPARATE destroy burette	mug : m o a o a m ;
burette : v b r v ; thermos : f f ; beaker : a d p a d ; decanter : o o m p ; SEPARATE filter beaker	burette : v b r v ; thermos : f f ; beaker : a a d d p ; decanter : o o m p ;
jug : m ; vessel : f f ; decanter : p r p r b ; glass : d d ; SEPARATE destroy glass	jug : m ; vessel : f f ; decanter : p r p r b ;
jug : o ; cup : f f ; jug : f h c c ; SEPARATE create vessel	jug : o ; cup : f f ; jug : f h c c ; vessel : _ ;
mug : c c ; flagon : a d d a ; SEPARATE filter flagon	mug : c c ; flagon : a a d d ;
cup : v b b r ; urn : y v y v m ; thermos : a ; SEPARATE shift cup after thermos	urn : y v y v m ; thermos : a ; cup : v b b r ;
jar : h h ; beaker : m m ; SEPARATE create decanter	jar : h h ; beaker : m m ; decanter : _ ;
bottle : v r r e e ; burette : b b ; jug : e y ; SEPARATE filter bottle	bottle : v r r e e ; burette : b b ; jug : e y ;
jug : r ; thermos : v y r v ; thermos : g h r g r ; cup : f f g d g d ; SEPARATE double jug	jug : r r ; thermos : v y r v ; thermos : g h r g r ; cup : f f g d g d ;
thermos : o g ; flask : h ; SEPARATE create cup	thermos : o g ; flask : h ; cup : _ ;
glass : r o c r ; jar : f ; pitcher : c c ; bottle : b b h v ; SEPARATE filter pitcher	glass : r o c r ; jar : f ; pitcher : c c ; bottle : b b h v ;
decanter : v ; glass : c c ; vessel : y ; SEPARATE double decanter	decanter : v v ; glass : c c ; vessel : y ;
thermos : m r p r m ; jar : r f e f ; urn : g o o m ; glass : p p v v ; SEPARATE double thermos	thermos : m r p r m m r p r m ; jar : r f e f ; urn : g o o m ; glass : p p v v ;
bottle : d d ; pitcher : d h d m ; SEPARATE add five harlequin to pitcher	bottle : d d ; pitcher : d h d m h h h h h ;
jar : f g h h ; mug : r ; mug : g f f ; vessel : a h h r ; SEPARATE create burette	jar : f g h h ; mug : r ; mug : g f f ; vessel : a h h r ; burette : _ ;
mug : e r c c r ; cup : r m p m r p ; jar : h r b b ; jar : e f f ; SEPARATE empty mug	mug : _ ; cup : r m p m r p ; jar : h r b b ; jar : e f f ;
mug : b b ; decanter : e a o a ; jar : p a a ; urn : r ; SEPARATE shift jar before decanter	mug : b b ; jar : p a a ; decanter : e a o a ; urn : r ;
bottle : v v ; canister : o b b o ; urn : d ; SEPARATE destroy canister	bottle : v v ; urn : d ;
thermos : e e f m f m ; cup : c v ; pitcher : r b v b r ; SEPARATE create jug	thermos : e e f m f m ; cup : c v ; pitcher : r b v b r ; jug : _ ;
jar : f ; cup : f g f d g d ; burette : a d a d ; SEPARATE add five green to cup	jar : f ; cup : f g f d g d g g g g g ; burette : a d a d ;
mug : e ; mug : f y f ; SEPARATE unmix first mug	mug : e ; mug : f y f ;
glass : d y y c ; urn : e h h e y ; beaker : y ; flagon : r h p ; SEPARATE shift urn after glass	glass : d y y c ; urn : e h h e y ; beaker : y ; flagon : r h p ;
jar : y h ; vessel : p ; jug : b p p ; SEPARATE create cup	jar : y h ; vessel : p ; jug : b p p ; cup : _ ;
canister : y f ; glass : m ; beaker : y g ; thermos : e o e ; SEPARATE unmix canister	canister : y ; canister : f ; glass : m ; beaker : y g ; thermos : e o e ;
jar : m m a y ; jug : y f y o ; glass : r r ; SEPARATE unmix glass	jar : m m a y ; jug : y f y o ; glass : r r ;
flagon : y o o y d ; urn : r r ; mug : p ; flask : b b ; SEPARATE add three red to mug	flagon : y o o y d ; urn : r r ; mug : p r r r ; flask : b b ;
bottle : m m a p a ; vessel : o o c d c ; urn : d y h ; burette : r c c r ; SEPARATE double urn	bottle : m m a p a ; vessel : o o c d c ; urn : d y h d y h ; burette : r c c r ;
canister : m m h h ; thermos : v f g ; SEPARATE double thermos	canister : m m h h ; thermos : v f g v f g ;
vessel : p p b ; beaker : f f o ; thermos : p p m a ; SEPARATE double thermos	vessel : p p b ; beaker : f f o ; thermos : p p m a p p m a ;
pitcher : f ; jug : d d ; pitcher : r ; cup : h v ; SEPARATE double first pitcher	pitcher : f f ; jug : d d ; pitcher : r ; cup : h v ;
vessel : y o o y d ; flask : h h ; flask : e y e ; canister : g a g f ; SEPARATE double canister	vessel : y o o y d ; flask : h h ; flask : e y e ; canister : g a g f g a g f ;
thermos : v a b a v ; decanter : g g ; jar : d o r o ; SEPARATE double thermos	thermos : v a b a v v a b a v ; decanter : g g ; jar : d o r o ;
thermos : b r e r b e ; cup : e m c e c ; SEPARATE add six red to thermos	thermos : b r e r b e r r r r r r ; cup : e m c e c ;
pitcher : e ; bottle : o a e o ; flask : h y ; SEPARATE shift bottle after flask	pitcher : e ; flask : h y ; bottle : o a e o ;
jar : g y y ; beaker : h h e b e ; flagon : g g ; SEPARATE shift jar before flagon	beaker : h h e b e ; jar : g y y ; flagon : g g ;
thermos : r r ; burette : f c e e f ; mug : g c ; SEPARATE empty thermos	thermos : _ ; burette : f c e e f ; mug : g c ;
bottle : b p b ; thermos : a m r a ; jug : a a ; SEPARATE empty thermos	bottle : b p b ; thermos : _ ; jug : a a ;
flagon : c b b ; glass : v v f ; jar : h h ; vessel : f y y p p f ; SEPARATE create vessel	flagon : c b b ; glass : v v f ; jar : h h ; vessel : f y y p p f ; vessel : _ ;
thermos : e d p ; jug : d d b ; SEPARATE double jug	thermos : e d p ; jug : d d b d d b ;
flask : c d c ; flask : a a d d ; decanter : e c b c ; canister : c c r ; SEPARATE double decanter	flask : c d c ; flask : a a d d ; decanter : e c b c e c b c ; canister : c c r ;
bottle : h h e ; pitcher : b b o o ; SEPARATE shift pitcher before bottle	pitcher : b b o o ; bottle : h h e ;
urn : m ; urn : d p f p f d ; vessel : v ; burette : y y d ; SEPARATE double vessel	urn : m ; urn : d p f p f d ; vessel : v v ; burette : y y d ;
vessel : p f ; cup : a a ; SEPARATE destroy vessel	cup : a a ;
flagon : o ; decanter : b b r m m r ; mug : f p f p v ; decanter : r o r b b ; SEPARATE destroy mug	flagon : o ; decanter : b b r m m r ; decanter : r o r b b ;
bottle : o o ; burette : m ; thermos : d b ; SEPARATE shift burette before bottle	burette : m ; bottle : o o ; thermos : d b ;
thermos : b m ; jug : a f ; pitcher : p ; beaker : a p p ; SEPARATE create urn	thermos : b m ; jug : a f ; pitcher : p ; beaker : a p p ; urn : _ ;
jar : o r v ; pitcher : h ; SEPARATE double pitcher	jar : o r v ; pitcher : h h ;
thermos : r ; beaker : e p p e ; SEPARATE double thermos	thermos : r r ; beaker : e p p e ;
thermos : h b ; bottle : m p ; SEPARATE destroy bottle	thermos : h b ;
bottle : m d m d ; jug : g g ; SEPARATE empty jug	bottle : m d m d ; jug : _ ;
thermos : p p ; urn : r m p r m ; SEPARATE add two emberiae to thermos	thermos : p p e e ; urn : r m p r m ;
decanter : e v v f f ; decanter : h a a h ; burette : a a e ; SEPARATE shift first decanter before last decanter	decanter : e v v f f ; decanter : h a a h ; burette : a a e ;
cup : c ; burette : g p a a p g ; canister : g p p y ; SEPARATE empty canister	cup : c ; burette : g p a a p g ; canister : _ ;
mug : c m p m p ; vessel : b a e a ; bottle : y a v y v a ; mug : a a ; SEPARATE shift vessel before first mug	vessel : b a e a ; mug : c m p m p ; bottle : y a v y v a ; mug : a a ;
canister : o o h ; burette : h p p ; SEPARATE create jug	canister : o o h ; burette : h p p ; jug : _ ;
vessel : p ; glass : d ; pitcher : p b p b ; SEPARATE shift glass after pitcher	vessel : p ; pitcher : p b p b ; glass : d ;
thermos : g e f f g ; urn : c e e r ; flask : a a ; bottle : b o e b ; SEPARATE destroy flask	thermos : g e f f g ; urn : c e e r ; bottle : b o e b ;
flagon : g g v ; decanter : p d p v ; burette : y p ; flagon : y v m ; SEPARATE destroy decanter	flagon : g g v ; burette : y p ; flagon : y v m ;
burette : f ; jug : v o o ; jug : b y ; SEPARATE destroy last jug	burette : f ; jug : v o o ;
jug : f f c ; urn : r o o r y ; SEPARATE filter jug	jug : f f c ; urn : r o o r y ;
flask : c m y c m ; decanter : b y b y ; beaker : e e ; SEPARATE add two green to beaker	flask : c m y c m ; decanter : b y b y ; beaker : e e g g ;
flagon : g ; flagon : g d g b ; SEPARATE unmix last flagon	flagon : g ; flagon : g g ; flagon : d ; flagon : b ;
jug : g p p a ; canister : c c ; SEPARATE create jar	jug : g p p a ; canister : c c ; jar : _ ;
mug : h h ; canister : p g p g ; SEPARATE create jar	mug : h h ; canister : p g p g ; jar : _ ;
glass : v e e ; canister : f h h f p ; mug : d b d b ; SEPARATE empty glass	glass : _ ; canister : f h h f p ; mug : d b d b ;
canister : e h e ; flagon : c r o ; jar : a p ; decanter : g g a ; SEPARATE empty jar	canister : e h e ; flagon : c r o ; jar : _ ; decanter : g g a ;
cup : p p a a ; cup : f d d ; SEPARATE create bottle	cup : p p a a ; cup : f d d ; bottle : _ ;
flagon : p p v v ; decanter : b ; pitcher : o f ; burette : h h a ; SEPARATE create cup	flagon : p p v v ; decanter : b ; pitcher : o f ; burette : h h a ; cup : _ ;
beaker : y g y v g v ; flask : e p v p v ; cup : r r ; SEPARATE add three orange to beaker	beaker : y g y v g v o o o ; flask : e p v p v ; cup : r r ;
flagon : h a a b h b ; canister : a a v ; vessel : r b ; SEPARATE add two emberiae to flagon	flagon : h a a b h b e e ; canister : a a v ; vessel : r b ;
bottle : v e ; jar : d d y g ; urn : v ; jug : d v h h ; SEPARATE create jar	bottle : v e ; jar : d d y g ; urn : v ; jug : d v h h ; jar : _ ;
thermos : e ; mug : v r v r ; SEPARATE add one fuchsia to mug	thermos : e ; mug : v r v r f ;
pitcher : f b b g f ; bottle : d ; SEPARATE unmix pitcher	pitcher : f f ; pitcher : b b ; pitcher : g ; bottle : d ;
thermos : d e ; beaker : a h y ; vessel : h b m h m ; burette : o h o ; SEPARATE create vessel	thermos : d e ; beaker : a h y ; vessel : h b m h m ; burette : o h o ; vessel : _ ;
burette : a a v ; jar : r v g r ; SEPARATE filter jar	burette : a a v ; jar : r r v g ;
jug : m m ; pitcher : a m m d d a ; jar : p g m m ; SEPARATE double jug	jug : m m m m ; pitcher : a m m d d a ; jar : p g m m ;
glass : y d r ; glass : g ; glass : m y c c m y ; SEPARATE filter second glass	glass : y d r ; glass : g ; glass : m y c c m y ;
thermos : a a ; mug : f f ; SEPARATE double thermos	thermos : a a a a ; mug : f f ;
decanter : h y b b ; flagon : b b m ; bottle : r e r ; canister : h ; SEPARATE double bottle	decanter : h y b b ; flagon : b b m ; bottle : r e r r e r ; canister : h ;
beaker : y e r y ; thermos : y d m m y ; burette : g e g e ; SEPARATE destroy beaker	thermos : y d m m y ; burette : g e g e ;
cup : o ; vessel : c c y g g ; vessel : g c y y ; thermos : f g e f g ; SEPARATE double cup	cup : o o ; vessel : c c y g g ; vessel : g c y y ; thermos : f g e f g ;
thermos : p p ; beaker : y p m ; canister : a r r ; SEPARATE unmix canister	thermos : p p ; beaker : y p m ; canister : a ; canister : r r ;
cup : v h h v ; jar : a m a m y ; mug : v d f v f ; mug : a a ; SEPARATE destroy first mug	cup : v h h v ; jar : a m a m y ; mug : a a ;
thermos : f ; canister : f o o f m m ; flagon : g m p p m ; SEPARATE empty flagon	thermos : f ; canister : f o o f m m ; flagon : _ ;
burette : c ; mug : f f ; urn : g p g p ; beaker : y y p ; SEPARATE shift mug before burette	mug : f f ; burette : c ; urn : g p g p ; beaker : y y p ;
burette : m m ; cup : d g ; SEPARATE double burette	burette : m m m m ; cup : d g ;
flagon : p p v v ; glass : a a e ; jar : m o f ; thermos : e ; SEPARATE double flagon	flagon : p p v v p p v v ; glass : a a e ; jar : m o f ; thermos : e ;
burette : m m e r r ; decanter : a ; SEPARATE unmix decanter	burette : m m e r r ; decanter : a ;
