Input	Output
beaker : d o o d ; urn : o o y ; SEPARATE unmix beaker	beaker : d d ; beaker : o o ; urn : o o y ;
burette : p d d h ; beaker : p p ; vessel : e o a e a ; vessel : e y c y ; SEPARATE create pitcher	burette : p d d h ; beaker : p p ; vessel : e o a e a ; vessel : e y c y ; pitcher : _ ;
canister : r c c r g ; glass : c r c v r ; pitcher : v ; SEPARATE empty canister	canister : _ ; glass : c r c v r ; pitcher : v ;
jug : v h v h ; beaker : a d d a ; canister : c r c p r p ; SEPARATE shift beaker after canister	jug : v h v h ; canister : c r c p r p ; beaker : a d d a ;
urn : h f h ; urn : v ; canister : m ; SEPARATE filter first urn	urn : h h f ; urn : v ; canister : m ;
beaker : m g m g ; burette : y y r ; vessel : g f f g ; SEPARATE unmix burette	beaker : m g m g ; burette : y y ; burette : r ; vessel : g f f g ;
cup : p m m d d ; glass : g g ; pitcher : b b r ; SEPARATE filter pitcher	cup : p m m d d ; glass : g g ; pitcher : b b r ;
pitcher : m ; vessel : e v p e ; canister : m e h e ; thermos : a o y o a ; SEPARATE create jar	pitcher : m ; vessel : e v p e ; canister : m e h e ; thermos : a o y o a ; jar : _ ;
jar : v v p b b ; urn : c c ; cup : g g ; SEPARATE double urn	jar : v v p b b ; urn : c c c c ; cup : g g ;
beaker : m m c c ; cup : a a ; SEPARATE shift beaker before cup	beaker : m m c c ; cup : a a ;
urn : c ; flask : m c m c ; SEPARATE unmix urn	urn : c ; flask : m c m c ;
canister : p v ; jug : c e c e ; burette : d ; thermos : p h d d p ; SEPARATE filter thermos	canister : p v ; jug : c e c e ; burette : d ; thermos : p p h d d ;
decanter : g a o g ; jug : a ; mug : b y ; mug : b r d ; SEPARATE unmix decanter	decanter : g g ; decanter : a ; decanter : o ; jug : a ; mug : b y ; mug : b r d ;
glass : p p ; jug : d y c y d ; SEPARATE create canister	glass : p p ; jug : d y c y d ; canister : _ ;
burette : p m c c m ; beaker : e ; SEPARATE empty burette	burette : _ ; beaker : e ;
glass : b c b ; burette : a ; jar : y y ; urn : f d d b ; SEPARATE add three red to urn	glass : b c b ; burette : a ; jar : y y ; urn : f d d b r r r ;
thermos : m y m y ; flask : h r ; SEPARATE empty thermos	thermos : _ ; flask : h r ;
jug : g ; urn : g ; jug : r r ; SEPARATE shift urn after first jug	jug : g ; urn : g ; jug : r r ;
canister : g ; flagon : d v v ; decanter : p e b p ; pitcher : r g g ; SEPARATE unmix canister	canister : g ; flagon : d v v ; decanter : p e b p ; pitcher : r g g ;
beaker : d g d o g o ; vessel : a v a r ; vessel : d b d ; urn : p d p m m d ; SEPARATE shift first vessel before second vessel	beaker : d g d o g o ; vessel : a v a r ; vessel : d b d ; urn : p d p m m d ;
glass : e h h e o ; jug : e d f ; burette : y ; SEPARATE filter glass	glass : e e h h o ; jug : e d f ; burette : y ;
bottle : o e h e o ; cup : h h v ; pitcher : f f ; SEPARATE add five aqua to bottle	bottle : o e h e o a a a a a ; cup : h h v ; pitcher : f f ;
pitcher : c y f f ; flask : m c m c ; jug : g b ; canister : o c d d c ; SEPARATE filter canister	pitcher : c y f f ; flask : m c m c ; jug : g b ; canister : o c c d d ;
flask : e e ; urn : h h g ; mug : a m p a p m ; jar : p p c c ; SEPARATE create flask	flask : e e ; urn : h h g ; mug : a m p a p m ; jar : p p c c ; flask : _ ;
burette : m m e ; urn : d ; cup : e d ; SEPARATE shift urn after cup	burette : m m e ; cup : e d ; urn : d ;
jug : d d ; flagon : d d ; SEPARATE double flagon	jug : d d ; flagon : d d d d ;
pitcher : m m ; mug : e g e f g f ; decanter : g m m e g e ; jar : p c ; SEPARATE create urn	pitcher : m m ; mug : e g e f g f ; decanter : g m m e g e ; jar : p c ; urn : _ ;
jar : b b y ; decanter : p p v y ; decanter : b b ; SEPARATE add six violet to jar	jar : b b y v v v v v v ; decanter : p p v y ; decanter : b b ;
thermos : b p g p ; bottle : m v o o v ; burette : d r o ; burette : h ; SEPARATE empty bottle	thermos : b p g p ; bottle : _ ; burette : d r o ; burette : h ;
canister : r r e ; flask : g m ; pitcher : c c a a ; beaker : h b b c h ; SEPARATE filter canister	canister : r r e ; flask : g m ; pitcher : c c a a ; beaker : h b b c h ;
jug : v v ; vessel : y y ; pitcher : c c ; SEPARATE add four cabernet to jug	jug : v v c c c c ; vessel : y y ; pitcher : c c ;
burette : v b b ; thermos : e p p e ; flagon : h g h g a ; SEPARATE double thermos	burette : v b b ; thermos : e p p e e p p e ; flagon : h g h g a ;
bottle : h r r ; cup : b d p d ; beaker : p ; beaker : v ; SEPARATE unmix bottle	bottle : h ; bottle : r r ; cup : b d p d ; beaker : p ; beaker : v ;
thermos : b o p b ; thermos : a a ; SEPARATE shift first thermos after last thermos	thermos : a a ; thermos : b o p b ;
cup : e ; decanter : e p e ; burette : c ; pitcher : c c f f ; SEPARATE shift cup after decanter	decanter : e p e ; cup : e ; burette : c ; pitcher : c c f f ;
beaker : g c ; jug : h c h g c g ; beaker : d d p o p o ; flask : a e r ; SEPARATE shift jug after first beaker	beaker : g c ; jug : h c h g c g ; beaker : d d p o p o ; flask : a e r ;
flagon : y y v ; flask : y d d ; SEPARATE unmix flagon	flagon : y y ; flagon : v ; flask : y d d ;
canister : f b h ; beaker : g d ; pitcher : a a ; SEPARATE filter pitcher	canister : f b h ; beaker : g d ; pitcher : a a ;
mug : m g m g ; jar : r r ; canister : h m p p h ; SEPARATE add six cabernet to canister	mug : m g m g ; jar : r r ; canister : h m p p h c c c c c c ;
decanter : e h y ; jug : p p ; mug : f f ; canister : p h p v h v ; SEPARATE add five purple to mug	decanter : e h y ; jug : p p ; mug : f f p p p p p ; canister : p h p v h v ;
vessel : b f a ; jug : y y d e ; cup : o d o d ; cup : h r p r p ; SEPARATE create thermos	vessel : b f a ; jug : y y d e ; cup : o d o d ; cup : h r p r p ; thermos : _ ;
flagon : p p v v ; decanter : b ; pitcher : o f ; burette : h h a ; SEPARATE create cup	flagon : p p v v ; decanter : b ; pitcher : o f ; burette : h h a ; cup : _ ;
bottle : c a ; burette : c c ; SEPARATE unmix bottle	bottle : c ; bottle : a ; burette : c c ;
burette : r b r p ; glass : b b ; mug : y y c ; bottle : r a ; SEPARATE create glass	burette : r b r p ; glass : b b ; mug : y y c ; bottle : r a ; glass : _ ;
cup : g g ; burette : y y d ; SEPARATE shift cup after burette	burette : y y d ; cup : g g ;
bottle : p r ; bottle : y h o o ; cup : v g p v p ; SEPARATE filter first bottle	bottle : p r ; bottle : y h o o ; cup : v g p v p ;
jar : y ; canister : r ; flagon : v f m v ; urn : b a a ; SEPARATE create cup	jar : y ; canister : r ; flagon : v f m v ; urn : b a a ; cup : _ ;
cup : o o ; canister : y d a d ; SEPARATE unmix cup	cup : o o ; canister : y d a d ;
jug : o o p p ; glass : c c ; urn : p a a o ; flask : o o d ; SEPARATE filter urn	jug : o o p p ; glass : c c ; urn : p a a o ; flask : o o d ;
decanter : p p ; urn : g ; beaker : o f ; SEPARATE double decanter	decanter : p p p p ; urn : g ; beaker : o f ;
decanter : g ; burette : a a ; flagon : g g ; beaker : y ; SEPARATE unmix burette	decanter : g ; burette : a a ; flagon : g g ; beaker : y ;
jar : y a y a ; vessel : g f g c f ; beaker : m p c ; SEPARATE filter jar	jar : y y a a ; vessel : g f g c f ; beaker : m p c ;
pitcher : d h c c ; mug : y m m y ; thermos : y ; SEPARATE empty thermos	pitcher : d h c c ; mug : y m m y ; thermos : _ ;
mug : o ; beaker : o ; SEPARATE create burette	mug : o ; beaker : o ; burette : _ ;
mug : a a v ; canister : a g g ; cup : h y o y ; SEPARATE shift cup after mug	mug : a a v ; cup : h y o y ; canister : a g g ;
urn : c c a r ; decanter : a r h r a h ; SEPARATE shift decanter after urn	urn : c c a r ; decanter : a r h r a h ;
vessel : a a ; flagon : r ; canister : b m o o ; mug : o o r ; SEPARATE create flagon	vessel : a a ; flagon : r ; canister : b m o o ; mug : o o r ; flagon : _ ;
jar : p p ; jar : p d e ; SEPARATE double first jar	jar : p p p p ; jar : p d e ;
jar : g c c g ; beaker : v v o o ; glass : y g f ; decanter : r c r f c f ; SEPARATE create bottle	jar : g c c g ; beaker : v v o o ; glass : y g f ; decanter : r c r f c f ; bottle : _ ;
burette : r f ; beaker : p p ; pitcher : a ; cup : y o p o p ; SEPARATE unmix pitcher	burette : r f ; beaker : p p ; pitcher : a ; cup : y o p o p ;
jug : a g r ; jug : a o e a e ; bottle : o ; decanter : p ; SEPARATE add six green to bottle	jug : a g r ; jug : a o e a e ; bottle : o g g g g g g ; decanter : p ;
flagon : a o a o ; flask : d a d p p ; burette : e v v e ; decanter : g ; SEPARATE double flagon	flagon : a o a o a o a o ; flask : d a d p p ; burette : e v v e ; decanter : g ;
flagon : v ; flagon : h h ; flagon : c m ; decanter : f f d o d ; SEPARATE add four aqua to last flagon	flagon : v ; flagon : h h ; flagon : c m a a a a ; decanter : f f d o d ;
vessel : y g g d ; burette : g h h ; urn : r v p r p v ; thermos : e e ; SEPARATE unmix urn	vessel : y g g d ; burette : g h h ; urn : r r ; urn : v v ; urn : p p ; thermos : e e ;
beaker : a f a r f ; thermos : r r ; urn : a a ; bottle : v r g v r ; SEPARATE create flask	beaker : a f a r f ; thermos : r r ; urn : a a ; bottle : v r g v r ; flask : _ ;
glass : a r a g g ; cup : r a ; SEPARATE add five red to glass	glass : a r a g g r r r r r ; cup : r a ;
flask : p y f f p ; jar : o y y ; thermos : m m f c f c ; flask : r r ; SEPARATE shift second flask after jar	flask : p y f f p ; jar : o y y ; flask : r r ; thermos : m m f c f c ;
jug : m ; mug : d y y d ; vessel : e e ; SEPARATE unmix mug	jug : m ; mug : d d ; mug : y y ; vessel : e e ;
thermos : r y e e ; burette : d c b ; canister : d f d f a ; beaker : a g g a ; SEPARATE unmix beaker	thermos : r y e e ; burette : d c b ; canister : d f d f a ; beaker : a a ; beaker : g g ;
flagon : a v v a ; flask : c ; glass : m v v ; SEPARATE shift glass before flask	flagon : a v v a ; glass : m v v ; flask : c ;
canister : d b e b e ; flagon : c c ; SEPARATE double flagon	canister : d b e b e ; flagon : c c c c ;
thermos : y y f h f ; beaker : p a ; jug : f p f ; jar : p p ; SEPARATE empty thermos	thermos : _ ; beaker : p a ; jug : f p f ; jar : p p ;
burette : y y d e d ; urn : y e h e h ; decanter : g ; SEPARATE add five green to urn	burette : y y d e d ; urn : y e h e h g g g g g ; decanter : g ;
burette : p p e e ; glass : y h h g y ; SEPARATE shift burette after glass	glass : y h h g y ; burette : p p e e ;
decanter : g h h b g ; bottle : b ; SEPARATE create bottle	decanter : g h h b g ; bottle : b ; bottle : _ ;
canister : y ; cup : h p g h p ; SEPARATE unmix canister	canister : y ; cup : h p g h p ;
glass : a h b a b ; flask : c d c f d ; SEPARATE unmix glass	glass : a a ; glass : h ; glass : b b ; flask : c d c f d ;
jug : r ; glass : d d a f f a ; SEPARATE double jug	jug : r r ; glass : d d a f f a ;
flask : r m c ; jar : h h ; beaker : e e ; burette : r r ; SEPARATE create urn	flask : r m c ; jar : h h ; beaker : e e ; burette : r r ; urn : _ ;
glass : g ; glass : f v f h ; flagon : b b ; SEPARATE shift flagon before last glass	glass : g ; flagon : b b ; glass : f v f h ;
vessel : c c ; burette : e y y e ; SEPARATE shift burette after vessel	vessel : c c ; burette : e y y e ;
cup : y y ; pitcher : o r g g ; bottle : f f ; canister : a o ; SEPARATE create flagon	cup : y y ; pitcher : o r g g ; bottle : f f ; canister : a o ; flagon : _ ;
burette : r g d r d g ; glass : r m r m c ; SEPARATE unmix burette	burette : r r ; burette : g g ; burette : d d ; glass : r m r m c ;
pitcher : d p p ; cup : h m p m ; SEPARATE unmix cup	pitcher : d p p ; cup : h ; cup : m m ; cup : p ;
mug : m p m o ; canister : d ; jug : b m b m g ; SEPARATE empty canister	mug : m p m o ; canister : _ ; jug : b m b m g ;
decanter : b d c d ; cup : g g ; SEPARATE create flagon	decanter : b d c d ; cup : g g ; flagon : _ ;
mug : b h b ; flagon : p e e r ; burette : b d b r d ; bottle : o o ; SEPARATE double bottle	mug : b h b ; flagon : p e e r ; burette : b d b r d ; bottle : o o o o ;
glass : v b b y ; bottle : o ; SEPARATE add five green to bottle	glass : v b b y ; bottle : o g g g g g ;
cup : d o o ; vessel : b p y b ; vessel : c c f f ; vessel : m m ; SEPARATE add one orange to third vessel	cup : d o o ; vessel : b p y b ; vessel : c c f f ; vessel : m m o ;
thermos : v p v p ; thermos : y v y ; SEPARATE empty first thermos	thermos : _ ; thermos : y v y ;
vessel : a a ; jug : p p ; jug : c ; SEPARATE create jug	vessel : a a ; jug : p p ; jug : c ; jug : _ ;
flask : f ; urn : a e h ; jar : f o f c ; jar : c c ; SEPARATE empty urn	flask : f ; urn : _ ; jar : f o f c ; jar : c c ;
flask : m ; burette : r p h r p ; vessel : c c v v d ; decanter : p b p b ; SEPARATE empty vessel	flask : m ; burette : r p h r p ; vessel : _ ; decanter : p b p b ;
beaker : r ; vessel : e e ; SEPARATE add one magenta to vessel	beaker : r ; vessel : e e m ;
pitcher : b r h b r ; flask : v v ; SEPARATE double pitcher	pitcher : b r h b r b r h b r ; flask : v v ;
decanter : r ; beaker : d v d v ; SEPARATE filter beaker	decanter : r ; beaker : d d v v ;
flask : d d ; beaker : r d r ; SEPARATE unmix flask	flask : d d ; beaker : r d r ;
flask : r g g r ; cup : f o o ; canister : v h v c c h ; jug : e v v c e ; SEPARATE create flask	flask : r g g r ; cup : f o o ; canister : v h v c c h ; jug : e v v c e ; flask : _ ;
pitcher : y y ; decanter : c c ; cup : h h ; SEPARATE empty decanter	pitcher : y y ; decanter : _ ; cup : h h ;
flagon : h o m m h ; urn : a a ; flagon : h h ; SEPARATE double urn	flagon : h o m m h ; urn : a a a a ; flagon : h h ;
glass : b v v ; thermos : h h b b ; jug : d a h ; SEPARATE double jug	glass : b v v ; thermos : h h b b ; jug : d a h d a h ;
urn : p p ; pitcher : r r g g ; urn : o o ; urn : d ; SEPARATE create bottle	urn : p p ; pitcher : r r g g ; urn : o o ; urn : d ; bottle : _ ;
thermos : a ; decanter : o a f f ; SEPARATE unmix decanter	thermos : a ; decanter : o ; decanter : a ; decanter : f f ;
jar : e m v m ; canister : d d ; cup : d h d f ; SEPARATE empty jar	jar : _ ; canister : d d ; cup : d h d f ;
flagon : a a ; vessel : m d ; SEPARATE filter flagon	flagon : a a ; vessel : m d ;
mug : o o ; beaker : v f m ; pitcher : p b b p ; canister : v r v r ; SEPARATE add two fuchsia to beaker	mug : o o ; beaker : v f m f f ; pitcher : p b b p ; canister : v r v r ;
jar : y ; vessel : c p p r ; bottle : o g g r r o ; SEPARATE shift bottle after jar	jar : y ; bottle : o g g r r o ; vessel : c p p r ;
glass : a ; glass : y c a c y ; SEPARATE unmix last glass	glass : a ; glass : y y ; glass : c c ; glass : a ;
cup : f ; beaker : y y ; cup : c m o o c ; SEPARATE add four magenta to second cup	cup : f ; beaker : y y ; cup : c m o o c m m m m ;
mug : y d m ; flagon : r ; SEPARATE empty mug	mug : _ ; flagon : r ;
flagon : y r ; flagon : a o a d o ; SEPARATE shift first flagon before last flagon	flagon : y r ; flagon : a o a d o ;
flask : h b h c ; cup : r ; pitcher : r p f f r p ; SEPARATE unmix cup	flask : h b h c ; cup : r ; pitcher : r p f f r p ;
urn : c d c ; decanter : h o o ; canister : e b b f f ; SEPARATE unmix canister	urn : c d c ; decanter : h o o ; canister : e ; canister : b b ; canister : f f ;
jar : g a a g f ; urn : c h g ; SEPARATE create urn	jar : g a a g f ; urn : c h g ; urn : _ ;
flask : g g ; bottle : y d ; flagon : a a e ; thermos : e e m ; SEPARATE empty flask	flask : _ ; bottle : y d ; flagon : a a e ; thermos : e e m ;
bottle : d c d f c f ; mug : r d o r d o ; bottle : f ; glass : a d ; SEPARATE empty last bottle	bottle : d c d f c f ; mug : r d o r d o ; bottle : _ ; glass : a d ;
jar : c d c ; glass : y y v ; beaker : g ; SEPARATE shift beaker after glass	jar : c d c ; glass : y y v ; beaker : g ;
mug : y y ; canister : e f f ; SEPARATE add five violet to canister	mug : y y ; canister : e f f v v v v v ;
pitcher : o p ; burette : v ; canister : a p a ; SEPARATE create glass	pitcher : o p ; burette : v ; canister : a p a ; glass : _ ;
bottle : f r ; bottle : c v o ; urn : y d y ; burette : d g ; SEPARATE shift burette after last bottle	bottle : f r ; bottle : c v o ; burette : d g ; urn : y d y ;
vessel : m b m g b ; canister : e p p ; SEPARATE double canister	vessel : m b m g b ; canister : e p p e p p ;
beaker : g h v v ; urn : a a ; decanter : a d d a ; mug : a ; SEPARATE double urn	beaker : g h v v ; urn : a a a a ; decanter : a d d a ; mug : a ;
beaker : d v v r r ; jar : b m m v ; SEPARATE unmix beaker	beaker : d ; beaker : v v ; beaker : r r ; jar : b m m v ;
beaker : d d ; burette : r g g f ; burette : g o o g ; beaker : c c ; SEPARATE unmix first beaker	beaker : d d ; burette : r g g f ; burette : g o o g ; beaker : c c ;
thermos : a m y a m ; thermos : v o o v ; SEPARATE double last thermos	thermos : a m y a m ; thermos : v o o v v o o v ;
burette : o p o ; jug : r r ; decanter : c b c g b g ; cup : v v e e ; SEPARATE double decanter	burette : o p o ; jug : r r ; decanter : c b c g b g c b c g b g ; cup : v v e e ;
beaker : o o ; jug : e e ; SEPARATE double beaker	beaker : o o o o ; jug : e e ;
mug : r f r ; jug : r ; SEPARATE double mug	mug : r f r r f r ; jug : r ;
bottle : v h d h ; pitcher : v p p ; vessel : g g m v m ; pitcher : o f h o f ; SEPARATE shift last pitcher before first pitcher	bottle : v h d h ; pitcher : o f h o f ; pitcher : v p p ; vessel : g g m v m ;
flask : c c p b ; beaker : a a ; vessel : r r ; cup : v d p d ; SEPARATE shift cup before flask	cup : v d p d ; flask : c c p b ; beaker : a a ; vessel : r r ;
pitcher : h h ; thermos : d d y b y ; jar : h h c ; SEPARATE create flask	pitcher : h h ; thermos : d d y b y ; jar : h h c ; flask : _ ;
flagon : d ; vessel : o ; SEPARATE create jar	flagon : d ; vessel : o ; jar : _ ;
urn : v p m p m ; mug : d ; pitcher : c m c ; glass : c d d c ; SEPARATE empty urn	urn : _ ; mug : d ; pitcher : c m c ; glass : c d d c ;
jar : e f y e ; jar : b ; flask : y ; jar : p p c c ; SEPARATE empty first jar	jar : _ ; jar : b ; flask : y ; jar : p p c c ;
bottle : p o o ; urn : d d ; SEPARATE filter urn	bottle : p o o ; urn : d d ;
thermos : p b o p o b ; thermos : a a y h ; SEPARATE double second thermos	thermos : p b o p o b ; thermos : a a y h a a y h ;
cup : o v o v ; burette : v ; mug : r r ; SEPARATE unmix burette	cup : o v o v ; burette : v ; mug : r r ;
flask : g d b g d ; mug : v g v o ; SEPARATE unmix flask	flask : g g ; flask : d d ; flask : b ; mug : v g v o ;
vessel : m o o p m ; flagon : m m d d e e ; SEPARATE shift vessel after flagon	flagon : m m d d e e ; vessel : m o o p m ;
beaker : h e d d ; mug : y y v o ; SEPARATE double beaker	beaker : h e d d h e d d ; mug : y y v o ;
vessel : d o d ; flask : o o ; flask : b ; SEPARATE double vessel	vessel : d o d d o d ; flask : o o ; flask : b ;
jug : g f d g f d ; beaker : v ; SEPARATE empty jug	jug : _ ; beaker : v ;
vessel : b b y ; pitcher : b b c ; pitcher : h r p h ; SEPARATE double last pitcher	vessel : b b y ; pitcher : b b c ; pitcher : h r p h h r p h ;
flagon : g r f f ; glass : b g b ; burette : r r ; SEPARATE double flagon	flagon : g r f f g r f f ; glass : b g b ; burette : r r ;
jug : a a d ; glass : p m p ; bottle : c b b m c ; vessel : v ; SEPARATE add one magenta to glass	jug : a a d ; glass : p m p m ; bottle : c b b m c ; vessel : v ;
bottle : g g ; canister : p a p a ; canister : r p r ; canister : v ; SEPARATE create jug	bottle : g g ; canister : p a p a ; canister : r p r ; canister : v ; jug : _ ;
beaker : r f a a r ; burette : v g ; canister : m h m ; SEPARATE unmix beaker	beaker : r r ; beaker : f ; beaker : a a ; burette : v g ; canister : m h m ;
vessel : a p r r ; vessel : v f ; mug : e e a ; mug : b b y y m ; SEPARATE empty first vessel	vessel : _ ; vessel : v f ; mug : e e a ; mug : b b y y m ;
vessel : g ; canister : h c c h ; cup : m h h ; SEPARATE shift canister after cup	vessel : g ; cup : m h h ; canister : h c c h ;
flagon : y d c ; beaker : r e e r ; SEPARATE empty beaker	flagon : y d c ; beaker : _ ;
glass : f b f b y ; cup : f a a ; canister : b m y y ; mug : b b ; SEPARATE filter glass	glass : f f b b y ; cup : f a a ; canister : b m y y ; mug : b b ;
flask : v v ; burette : e e d h d ; beaker : b h ; jug : o g f f o ; SEPARATE filter beaker	flask : v v ; burette : e e d h d ; beaker : b h ; jug : o g f f o ;
bottle : m e h ; vessel : y y ; jug : h b h ; vessel : c ; SEPARATE add six green to bottle	bottle : m e h g g g g g g ; vessel : y y ; jug : h b h ; vessel : c ;
urn : g ; jar : g ; SEPARATE unmix jar	urn : g ; jar : g ;
thermos : r r ; flask : b c v c v b ; SEPARATE empty flask	thermos : r r ; flask : _ ;
decanter : p g m m p g ; flagon : v v ; canister : v r p p r ; SEPARATE filter decanter	decanter : p p g g m m ; flagon : v v ; canister : v r p p r ;
cup : h e p h p e ; mug : f p h p h ; SEPARATE unmix mug	cup : h e p h p e ; mug : f ; mug : p p ; mug : h h ;
thermos : o r ; mug : a b o o b a ; beaker : f ; flask : f f y a ; SEPARATE unmix beaker	thermos : o r ; mug : a b o o b a ; beaker : f ; flask : f f y a ;
glass : b g ; vessel : p ; SEPARATE shift glass after vessel	vessel : p ; glass : b g ;
vessel : p e b e b ; pitcher : g ; SEPARATE create flagon	vessel : p e b e b ; pitcher : g ; flagon : _ ;
