Input	Output
burette : a m a r m ; jar : r d ; flagon : y y ; SEPARATE add six red to burette	burette : a m a r m r r r r r r ; jar : r d ; flagon : y y ;
vessel : a a v ; thermos : p c p ; vessel : v v y ; SEPARATE add four fuchsia to first vessel	vessel : a a v f f f f ; thermos : p c p ; vessel : v v y ;
mug : h h ; vessel : m ; SEPARATE add four emberiae to vessel	mug : h h ; vessel : m e e e e ;
mug : o y o ; canister : v a a d ; SEPARATE add two yellow to mug	mug : o y o y y ; canister : v a a d ;
urn : d d m ; pitcher : c p p b b ; flask : b r h b ; SEPARATE add five cabernet to urn	urn : d d m c c c c c ; pitcher : c p p b b ; flask : b r h b ;
jug : m m p ; canister : o ; urn : m m h h g g ; SEPARATE add five red to jug	jug : m m p r r r r r ; canister : o ; urn : m m h h g g ;
mug : f ; jar : p c p ; SEPARATE add six daffodil to mug	mug : f d d d d d d ; jar : p c p ;
cup : h ; jug : d c ; bottle : d d ; SEPARATE add five aqua to jug	cup : h ; jug : d c a a a a a ; bottle : d d ;
flask : f f ; pitcher : d d g ; jug : a c c a p ; SEPARATE add three blue to flask	flask : f f b b b ; pitcher : d d g ; jug : a c c a p ;
flagon : a a v f ; jar : v h v h p ; canister : y ; SEPARATE add one cabernet to jar	flagon : a a v f ; jar : v h v h p c ; canister : y ;
canister : r r ; jug : r v r ; SEPARATE add four magenta to jug	canister : r r ; jug : r v r m m m m ;
bottle : m m ; vessel : g m d d ; flask : o g p ; SEPARATE add six orange to bottle	bottle : m m o o o o o o ; vessel : g m d d ; flask : o g p ;
jug : e ; thermos : o o ; decanter : c c d ; SEPARATE add four purple to jug	jug : e p p p p ; thermos : o o ; decanter : c c d ;
beaker : v v ; decanter : g h c ; SEPARATE add four purple to decanter	beaker : v v ; decanter : g h c p p p p ;
canister : o h ; flagon : e h h c c e ; urn : p p ; SEPARATE add one fuchsia to urn	canister : o h ; flagon : e h h c c e ; urn : p p f ;
mug : y ; bottle : b o ; mug : r p p r ; SEPARATE add six daffodil to bottle	mug : y ; bottle : b o d d d d d d ; mug : r p p r ;
thermos : b r e r b e ; cup : e m c e c ; SEPARATE add six red to thermos	thermos : b r e r b e r r r r r r ; cup : e m c e c ;
decanter : c a c a v v ; bottle : a m a ; SEPARATE add three purple to decanter	decanter : c a c a v v p p p ; bottle : a m a ;
cup : h ; pitcher : c c ; jar : g ; SEPARATE add six orange to jar	cup : h ; pitcher : c c ; jar : g o o o o o o ;
pitcher : c ; flagon : r r h h ; SEPARATE add five fuchsia to pitcher	pitcher : c f f f f f ; flagon : r r h h ;
cup : p o p y y ; cup : r g d g r ; SEPARATE add four purple to second cup	cup : p o p y y ; cup : r g d g r p p p p ;
beaker : o ; burette : v e d d ; jar : r ; SEPARATE add four magenta to burette	beaker : o ; burette : v e d d m m m m ; jar : r ;
beaker : p p h h ; decanter : r ; flagon : r d r ; SEPARATE add four blue to beaker	beaker : p p h h b b b b ; decanter : r ; flagon : r d r ;
pitcher : h h ; burette : e d ; SEPARATE add one green to burette	pitcher : h h ; burette : e d g ;
flagon : a ; urn : c g v c ; SEPARATE add five daffodil to flagon	flagon : a d d d d d ; urn : c g v c ;
bottle : o e h e o ; cup : h h v ; pitcher : f f ; SEPARATE add five aqua to bottle	bottle : o e h e o a a a a a ; cup : h h v ; pitcher : f f ;
urn : b o v b ; jar : m m ; SEPARATE add five magenta to jar	urn : b o v b ; jar : m m m m m m m ;
canister : g ; pitcher : h h d ; SEPARATE add five magenta to pitcher	canister : g ; pitcher : h h d m m m m m ;
thermos : b d b a ; beaker : e o ; SEPARATE add two orange to beaker	thermos : b d b a ; beaker : e o o o ;
flask : h p f p f h ; vessel : g ; jar : m c ; SEPARATE add three green to flask	flask : h p f p f h g g g ; vessel : g ; jar : m c ;
decanter : o o ; mug : f d f d ; SEPARATE add three fuchsia to mug	decanter : o o ; mug : f d f d f f f ;
flask : o o ; glass : h ; SEPARATE add two green to glass	flask : o o ; glass : h g g ;
flagon : f ; jar : p e e h h ; SEPARATE add four orange to flagon	flagon : f o o o o ; jar : p e e h h ;
pitcher : d d ; mug : o o p d p ; SEPARATE add six violet to mug	pitcher : d d ; mug : o o p d p v v v v v v ;
jug : f r f m m r ; vessel : y p e p ; SEPARATE add three red to jug	jug : f r f m m r r r r ; vessel : y p e p ;
burette : a o a f ; bottle : f ; mug : d f y f y d ; SEPARATE add two harlequin to burette	burette : a o a f h h ; bottle : f ; mug : d f y f y d ;
bottle : g a g a ; bottle : y ; mug : o o e r ; SEPARATE add one cabernet to first bottle	bottle : g a g a c ; bottle : y ; mug : o o e r ;
glass : b ; canister : a b ; SEPARATE add two purple to glass	glass : b p p ; canister : a b ;
decanter : g e g ; jar : o o ; SEPARATE add two magenta to decanter	decanter : g e g m m ; jar : o o ;
urn : o ; bottle : m a m ; SEPARATE add five fuchsia to urn	urn : o f f f f f ; bottle : m a m ;
burette : f f d ; glass : r r ; SEPARATE add two cabernet to burette	burette : f f d c c ; glass : r r ;
bottle : a h f ; decanter : f r ; glass : y o o m ; SEPARATE add three daffodil to bottle	bottle : a h f d d d ; decanter : f r ; glass : y o o m ;
cup : o ; burette : g m c ; jar : m m ; SEPARATE add four cabernet to jar	cup : o ; burette : g m c ; jar : m m c c c c ;
flagon : b ; canister : y r r o o ; SEPARATE add four daffodil to flagon	flagon : b d d d d ; canister : y r r o o ;
glass : f c a f ; cup : m e p m p e ; SEPARATE add one fuchsia to glass	glass : f c a f f ; cup : m e p m p e ;
thermos : o o e ; decanter : m m v o ; SEPARATE add three harlequin to decanter	thermos : o o e ; decanter : m m v o h h h ;
glass : o ; canister : c v f v ; cup : b v ; SEPARATE add five yellow to canister	glass : o ; canister : c v f v y y y y y ; cup : b v ;
vessel : g ; decanter : r o g ; SEPARATE add six harlequin to vessel	vessel : g h h h h h h ; decanter : r o g ;
bottle : p d d c p c ; vessel : c e c a a ; SEPARATE add five orange to bottle	bottle : p d d c p c o o o o o ; vessel : c e c a a ;
beaker : f h y ; canister : b b a o o ; SEPARATE add two daffodil to beaker	beaker : f h y d d ; canister : b b a o o ;
bottle : r r ; glass : c a y a ; canister : a a ; SEPARATE add three aqua to glass	bottle : r r ; glass : c a y a a a a ; canister : a a ;
beaker : m ; bottle : f h y h ; thermos : o ; pitcher : d p ; SEPARATE add five harlequin to thermos	beaker : m ; bottle : f h y h ; thermos : o h h h h h ; pitcher : d p ;
bottle : o o ; bottle : y r r b ; SEPARATE add one yellow to second bottle	bottle : o o ; bottle : y r r b y ;
decanter : c c p d ; flagon : p p ; urn : r g c ; SEPARATE add four red to decanter	decanter : c c p d r r r r ; flagon : p p ; urn : r g c ;
bottle : y p ; flagon : d r p r ; SEPARATE add four magenta to bottle	bottle : y p m m m m ; flagon : d r p r ;
decanter : c c ; pitcher : a h a ; SEPARATE add four aqua to decanter	decanter : c c a a a a ; pitcher : a h a ;
urn : a a ; decanter : g g ; SEPARATE add one cabernet to urn	urn : a a c ; decanter : g g ;
mug : m ; pitcher : e a ; SEPARATE add three emberiae to pitcher	mug : m ; pitcher : e a e e e ;
pitcher : p p ; flagon : v v p p ; SEPARATE add one blue to pitcher	pitcher : p p b ; flagon : v v p p ;
decanter : f ; flask : a a r b ; SEPARATE add three purple to flask	decanter : f ; flask : a a r b p p p ;
pitcher : b b ; vessel : o o r r ; vessel : r r ; SEPARATE add two magenta to last vessel	pitcher : b b ; vessel : o o r r ; vessel : r r m m ;
pitcher : y h h m y ; jug : g g e c e ; SEPARATE add one cabernet to jug	pitcher : y h h m y ; jug : g g e c e c ;
flagon : h h ; jar : m m ; burette : r y v y ; SEPARATE add two red to jar	flagon : h h ; jar : m m r r ; burette : r y v y ;
pitcher : d d p c p ; flagon : f ; glass : y ; beaker : o o ; SEPARATE add five blue to glass	pitcher : d d p c p ; flagon : f ; glass : y b b b b b ; beaker : o o ;
bottle : d c c ; flask : m d d m ; beaker : h b b ; SEPARATE add one harlequin to flask	bottle : d c c ; flask : m d d m h ; beaker : h b b ;
bottle : e c ; cup : r c f c ; SEPARATE add three cabernet to cup	bottle : e c ; cup : r c f c c c c ;
beaker : r r b b ; burette : e e r ; SEPARATE add six red to burette	beaker : r r b b ; burette : e e r r r r r r r ;
decanter : r r ; pitcher : b p p ; flagon : h a h ; SEPARATE add one red to pitcher	decanter : r r ; pitcher : b p p r ; flagon : h a h ;
jar : y ; jar : o o ; vessel : e ; cup : d d ; SEPARATE add five orange to cup	jar : y ; jar : o o ; vessel : e ; cup : d d o o o o o ;
mug : m g m g ; jar : r r ; canister : h m p p h ; SEPARATE add six cabernet to canister	mug : m g m g ; jar : r r ; canister : h m p p h c c c c c c ;
jar : g d r g ; glass : a ; SEPARATE add six daffodil to jar	jar : g d r g d d d d d d ; glass : a ;
flagon : e d ; bottle : p p ; cup : m m d r r d ; SEPARATE add two green to cup	flagon : e d ; bottle : p p ; cup : m m d r r d g g ;
glass : a h ; bottle : a h h ; SEPARATE add five purple to glass	glass : a h p p p p p ; bottle : a h h ;
decanter : o y o b ; flask : o o ; decanter : o f o ; SEPARATE add one green to flask	decanter : o y o b ; flask : o o g ; decanter : o f o ;
pitcher : d ; canister : e e m ; SEPARATE add three orange to pitcher	pitcher : d o o o ; canister : e e m ;
mug : b c c b ; jug : o o ; SEPARATE add four purple to mug	mug : b c c b p p p p ; jug : o o ;
vessel : c o o p c ; flagon : h h ; SEPARATE add one harlequin to flagon	vessel : c o o p c ; flagon : h h h ;
urn : v ; flagon : b b ; SEPARATE add two yellow to urn	urn : v y y ; flagon : b b ;
pitcher : f ; jug : m m v p p ; SEPARATE add one blue to pitcher	pitcher : f b ; jug : m m v p p ;
burette : o ; pitcher : g g ; SEPARATE add one fuchsia to pitcher	burette : o ; pitcher : g g f ;
canister : m m ; pitcher : d p m ; SEPARATE add five red to pitcher	canister : m m ; pitcher : d p m r r r r r ;
vessel : v e e v ; canister : b r y b ; SEPARATE add three emberiae to vessel	vessel : v e e v e e e ; canister : b r y b ;
thermos : b g m g b ; burette : h c o o ; SEPARATE add three green to thermos	thermos : b g m g b g g g ; burette : h c o o ;
cup : m ; beaker : e e d ; beaker : r p r ; SEPARATE add six yellow to last beaker	cup : m ; beaker : e e d ; beaker : r p r y y y y y y ;
burette : h ; burette : b p ; urn : v ; SEPARATE add three fuchsia to last burette	burette : h ; burette : b p f f f ; urn : v ;
bottle : r ; cup : m f m y ; SEPARATE add six green to bottle	bottle : r g g g g g g ; cup : m f m y ;
flagon : p a ; flagon : v p h h v ; glass : b g a ; SEPARATE add six aqua to glass	flagon : p a ; flagon : v p h h v ; glass : b g a a a a a a a ;
decanter : m v p ; flagon : b e c ; thermos : v ; jug : p ; SEPARATE add two cabernet to thermos	decanter : m v p ; flagon : b e c ; thermos : v c c ; jug : p ;
decanter : a e a ; mug : b b d v d ; SEPARATE add four magenta to decanter	decanter : a e a m m m m ; mug : b b d v d ;
mug : a ; glass : b ; beaker : v c c ; pitcher : y ; SEPARATE add one red to pitcher	mug : a ; glass : b ; beaker : v c c ; pitcher : y r ;
jug : o o b e ; flask : b g g p p ; jar : h ; SEPARATE add three yellow to jug	jug : o o b e y y y ; flask : b g g p p ; jar : h ;
pitcher : a a ; canister : v ; vessel : f f m ; SEPARATE add three aqua to canister	pitcher : a a ; canister : v a a a ; vessel : f f m ;
urn : f r r ; thermos : o a a f ; SEPARATE add four harlequin to urn	urn : f r r h h h h ; thermos : o a a f ;
flagon : a e g e ; vessel : v v d ; SEPARATE add two violet to vessel	flagon : a e g e ; vessel : v v d v v ;
pitcher : a m ; bottle : r ; jug : p g p g ; thermos : v ; SEPARATE add three daffodil to bottle	pitcher : a m ; bottle : r d d d ; jug : p g p g ; thermos : v ;
jar : r r ; jug : g ; mug : r h d ; thermos : c c ; SEPARATE add five green to mug	jar : r r ; jug : g ; mug : r h d g g g g g ; thermos : c c ;
mug : a a p p g g ; jug : c f ; SEPARATE add two purple to jug	mug : a a p p g g ; jug : c f p p ;
thermos : y h y e ; vessel : y e ; SEPARATE add six yellow to thermos	thermos : y h y e y y y y y y ; vessel : y e ;
mug : p p ; jar : b b ; pitcher : p p r ; cup : v ; SEPARATE add five violet to jar	mug : p p ; jar : b b v v v v v ; pitcher : p p r ; cup : v ;
thermos : a m a r ; pitcher : h h ; SEPARATE add one red to thermos	thermos : a m a r r ; pitcher : h h ;
thermos : g r r p ; flagon : d h d ; vessel : c g f ; SEPARATE add four blue to thermos	thermos : g r r p b b b b ; flagon : d h d ; vessel : c g f ;
glass : y p y ; urn : v g m v ; SEPARATE add one purple to urn	glass : y p y ; urn : v g m v p ;
pitcher : v v y c c ; beaker : a o o a ; flagon : b b v ; SEPARATE add two green to beaker	pitcher : v v y c c ; beaker : a o o a g g ; flagon : b b v ;
urn : b b ; urn : m m y y ; urn : p p ; SEPARATE add five orange to first urn	urn : b b o o o o o ; urn : m m y y ; urn : p p ;
mug : o h o b ; urn : e e ; SEPARATE add six orange to urn	mug : o h o b ; urn : e e o o o o o o ;
canister : y f r f ; burette : r b r b ; thermos : v ; SEPARATE add three harlequin to canister	canister : y f r f h h h ; burette : r b r b ; thermos : v ;
bottle : o ; jug : a a ; urn : y y v m ; SEPARATE add five purple to urn	bottle : o ; jug : a a ; urn : y y v m p p p p p ;
pitcher : c c ; flask : h h ; SEPARATE add five harlequin to pitcher	pitcher : c c h h h h h ; flask : h h ;
vessel : y v d y ; pitcher : m m ; pitcher : p c ; SEPARATE add four cabernet to first pitcher	vessel : y v d y ; pitcher : m m c c c c ; pitcher : p c ;
canister : b g e b g ; vessel : f y f ; vessel : e e ; SEPARATE add two red to last vessel	canister : b g e b g ; vessel : f y f ; vessel : e e r r ;
burette : o ; vessel : f f ; pitcher : a m o ; canister : a o a ; SEPARATE add five emberiae to burette	burette : o e e e e e ; vessel : f f ; pitcher : a m o ; canister : a o a ;
urn : y o o y ; canister : h ; SEPARATE add one orange to canister	urn : y o o y ; canister : h o ;
vessel : e e h h o ; vessel : f a r f r ; SEPARATE add five cabernet to last vessel	vessel : e e h h o ; vessel : f a r f r c c c c c ;
thermos : c ; flagon : g ; SEPARATE add two blue to flagon	thermos : c ; flagon : g b b ;
beaker : r o a ; decanter : g m g v v m ; SEPARATE add six violet to decanter	beaker : r o a ; decanter : g m g v v m v v v v v v ;
urn : b p ; flask : a a r ; glass : p ; beaker : b b ; SEPARATE add four harlequin to glass	urn : b p ; flask : a a r ; glass : p h h h h ; beaker : b b ;
flagon : a d p a ; beaker : r r b b ; flagon : v v ; SEPARATE add one daffodil to first flagon	flagon : a d p a d ; beaker : r r b b ; flagon : v v ;
glass : c a r r c a ; glass : e h h e ; SEPARATE add two blue to first glass	glass : c a r r c a b b ; glass : e h h e ;
flask : c ; cup : b y r ; bottle : p v p ; SEPARATE add six magenta to flask	flask : c m m m m m m ; cup : b y r ; bottle : p v p ;
canister : o o ; bottle : b b ; SEPARATE add six emberiae to bottle	canister : o o ; bottle : b b e e e e e e ;
thermos : p p ; glass : e b ; SEPARATE add three fuchsia to thermos	thermos : p p f f f ; glass : e b ;
burette : y y a ; pitcher : y y c ; SEPARATE add three violet to burette	burette : y y a v v v ; pitcher : y y c ;
vessel : o d e d e ; decanter : v o v ; flagon : e ; SEPARATE add five daffodil to decanter	vessel : o d e d e ; decanter : v o v d d d d d ; flagon : e ;
vessel : v m m v ; glass : g g ; jug : h m b b m ; SEPARATE add six purple to glass	vessel : v m m v ; glass : g g p p p p p p ; jug : h m b b m ;
cup : v ; mug : v e ; bottle : c c ; SEPARATE add four aqua to mug	cup : v ; mug : v e a a a a ; bottle : c c ;
burette : y c ; canister : e d g e ; SEPARATE add four violet to canister	burette : y c ; canister : e d g e v v v v ;
vessel : b y h b y ; jar : d g g v ; SEPARATE add two violet to vessel	vessel : b y h b y v v ; jar : d g g v ;
thermos : g g ; flask : d e e f d ; SEPARATE add three green to thermos	thermos : g g g g g ; flask : d e e f d ;
jug : v p y v y ; glass : r ; pitcher : e b e ; SEPARATE add six blue to glass	jug : v p y v y ; glass : r b b b b b b ; pitcher : e b e ;
vessel : m ; beaker : b g ; SEPARATE add three red to beaker	vessel : m ; beaker : b g r r r ;
urn : m ; pitcher : c ; jar : o c o h h c ; SEPARATE add five fuchsia to jar	urn : m ; pitcher : c ; jar : o c o h h c f f f f f ;
cup : y y a v ; decanter : b ; SEPARATE add one orange to cup	cup : y y a v o ; decanter : b ;
decanter : v y v d d ; cup : o ; SEPARATE add two orange to cup	decanter : v y v d d ; cup : o o o ;
burette : y g g ; flagon : h f h ; jug : o b o b ; SEPARATE add four purple to burette	burette : y g g p p p p ; flagon : h f h ; jug : o b o b ;
mug : g g ; flask : b y y b ; SEPARATE add two yellow to flask	mug : g g ; flask : b y y b y y ;
decanter : g g ; canister : c p ; SEPARATE add four purple to canister	decanter : g g ; canister : c p p p p p ;
beaker : m m o ; glass : c c ; flask : r r ; SEPARATE add four blue to beaker	beaker : m m o b b b b ; glass : c c ; flask : r r ;
canister : h h p ; glass : m a ; cup : f a e a ; SEPARATE add six cabernet to canister	canister : h h p c c c c c c ; glass : m a ; cup : f a e a ;
cup : e e ; jug : c r ; mug : m m ; urn : r r ; SEPARATE add six orange to cup	cup : e e o o o o o o ; jug : c r ; mug : m m ; urn : r r ;
urn : h ; jug : r r g p p g ; decanter : v ; SEPARATE add six magenta to urn	urn : h m m m m m m ; jug : r r g p p g ; decanter : v ;
pitcher : o v ; bottle : m ; SEPARATE add three cabernet to pitcher	pitcher : o v c c c ; bottle : m ;
flagon : p o e p e o ; flask : g a m ; SEPARATE add four red to flask	flagon : p o e p e o ; flask : g a m r r r r ;
mug : v e v ; thermos : b v v b ; SEPARATE add three magenta to thermos	mug : v e v ; thermos : b v v b m m m ;
jar : y h y ; burette : b a b ; SEPARATE add four aqua to burette	jar : y h y ; burette : b a b a a a a ;
jug : a y v y ; mug : b b ; pitcher : v ; burette : v v ; SEPARATE add two emberiae to mug	jug : a y v y ; mug : b b e e ; pitcher : v ; burette : v v ;
flagon : o f h ; beaker : d d ; burette : p c p y ; SEPARATE add two harlequin to burette	flagon : o f h ; beaker : d d ; burette : p c p y h h ;
decanter : y p f ; jug : e d e p ; SEPARATE add one orange to decanter	decanter : y p f o ; jug : e d e p ;
thermos : o o g ; decanter : e e ; thermos : a ; vessel : c ; SEPARATE add five red to first thermos	thermos : o o g r r r r r ; decanter : e e ; thermos : a ; vessel : c ;
glass : b b f ; mug : r ; SEPARATE add two aqua to glass	glass : b b f a a ; mug : r ;
cup : g b r ; burette : a ; SEPARATE add two aqua to burette	cup : g b r ; burette : a a a ;
burette : o o r r ; jug : v o d o ; SEPARATE add four magenta to jug	burette : o o r r ; jug : v o d o m m m m ;
flask : c o c r r ; urn : m g g ; SEPARATE add five violet to flask	flask : c o c r r v v v v v ; urn : m g g ;
pitcher : v f v e ; pitcher : g g ; SEPARATE add one blue to last pitcher	pitcher : v f v e ; pitcher : g g b ;
glass : c g v v c ; canister : a h h ; SEPARATE add five yellow to canister	glass : c g v v c ; canister : a h h y y y y y ;
glass : e b b ; flask : d c c d ; SEPARATE add five violet to flask	glass : e b b ; flask : d c c d v v v v v ;
beaker : m r v v m ; urn : g g c ; SEPARATE add five violet to urn	beaker : m r v v m ; urn : g g c v v v v v ;
flagon : v h v h r r ; pitcher : c v p c p ; SEPARATE add one daffodil to pitcher	flagon : v h v h r r ; pitcher : c v p c p d ;
burette : p f p f ; flagon : o h h ; SEPARATE add two yellow to flagon	burette : p f p f ; flagon : o h h y y ;
glass : b b ; flask : r ; beaker : r r ; glass : g e o g ; SEPARATE add five fuchsia to flask	glass : b b ; flask : r f f f f f ; beaker : r r ; glass : g e o g ;
burette : b p ; canister : b f ; jar : y y ; SEPARATE add one violet to canister	burette : b p ; canister : b f v ; jar : y y ;
pitcher : d y b y ; flagon : g ; canister : y y c ; decanter : o ; SEPARATE add two cabernet to pitcher	pitcher : d y b y c c ; flagon : g ; canister : y y c ; decanter : o ;
mug : d y y ; flagon : y e o e ; SEPARATE add two aqua to flagon	mug : d y y ; flagon : y e o e a a ;
pitcher : m b b ; pitcher : y b y a b ; SEPARATE add three orange to last pitcher	pitcher : m b b ; pitcher : y b y a b o o o ;
urn : y g a g ; urn : c c ; urn : p ; SEPARATE add one emberiae to third urn	urn : y g a g ; urn : c c ; urn : p e ;
bottle : v c v c d ; flask : h c ; SEPARATE add four orange to bottle	bottle : v c v c d o o o o ; flask : h c ;
vessel : r r ; flask : d f d ; jug : v b o o ; SEPARATE add five violet to flask	vessel : r r ; flask : d f d v v v v v ; jug : v b o o ;
jug : e o b e o ; glass : g a g m ; SEPARATE add one aqua to glass	jug : e o b e o ; glass : g a g m a ;
cup : r r ; bottle : e f e f y ; jug : b b ; SEPARATE add one yellow to jug	cup : r r ; bottle : e f e f y ; jug : b b y ;
jug : f r r ; canister : g d p ; canister : p ; SEPARATE add three green to first canister	jug : f r r ; canister : g d p g g g ; canister : p ;
glass : r g r a a ; beaker : c c ; SEPARATE add four aqua to glass	glass : r g r a a a a a a ; beaker : c c ;
decanter : b o ; decanter : a a ; SEPARATE add six green to first decanter	decanter : b o g g g g g g ; decanter : a a ;
flagon : m m ; canister : f ; thermos : a c c ; SEPARATE add one fuchsia to thermos	flagon : m m ; canister : f ; thermos : a c c f ;
flagon : h e h m ; cup : o d ; urn : v v y d d ; SEPARATE add six blue to cup	flagon : h e h m ; cup : o d b b b b b b ; urn : v v y d d ;
decanter : v ; canister : b a a ; cup : y y ; SEPARATE add six emberiae to decanter	decanter : v e e e e e e ; canister : b a a ; cup : y y ;
burette : p c o c ; flagon : y y ; SEPARATE add three purple to flagon	burette : p c o c ; flagon : y y p p p ;
jug : d d ; vessel : y ; jug : m o b ; SEPARATE add five orange to first jug	jug : d d o o o o o ; vessel : y ; jug : m o b ;
flask : a d d f ; vessel : h ; jar : b r b o o ; SEPARATE add one cabernet to jar	flask : a d d f ; vessel : h ; jar : b r b o o c ;
beaker : c m c d d ; flask : m m ; mug : y r ; SEPARATE add two magenta to flask	beaker : c m c d d ; flask : m m m m ; mug : y r ;
mug : p p h c ; flagon : g d g ; SEPARATE add six red to flagon	mug : p p h c ; flagon : g d g r r r r r r ;
cup : m y y m ; bottle : p ; SEPARATE add five violet to bottle	cup : m y y m ; bottle : p v v v v v ;
burette : d d f a ; flagon : d h d h ; SEPARATE add four orange to flagon	burette : d d f a ; flagon : d h d h o o o o ;
glass : f ; flask : y ; SEPARATE add four green to glass	glass : f g g g g ; flask : y ;
jar : f ; jug : o g e o g e ; SEPARATE add two yellow to jar	jar : f y y ; jug : o g e o g e ;
decanter : f p p f ; jar : m e e m ; jar : h c ; SEPARATE add six blue to first jar	decanter : f p p f ; jar : m e e m b b b b b b ; jar : h c ;
canister : c r r c ; burette : m b y y b ; SEPARATE add six cabernet to canister	canister : c r r c c c c c c c ; burette : m b y y b ;
canister : c c ; bottle : h h ; SEPARATE add one aqua to bottle	canister : c c ; bottle : h h a ;
beaker : o m m o ; vessel : p p ; canister : a a c v ; SEPARATE add three fuchsia to vessel	beaker : o m m o ; vessel : p p f f f ; canister : a a c v ;
beaker : h y h r ; jar : g d d ; SEPARATE add six orange to jar	beaker : h y h r ; jar : g d d o o o o o o ;
jug : e h e g g ; cup : d ; glass : p p y ; SEPARATE add four blue to jug	jug : e h e g g b b b b ; cup : d ; glass : p p y ;
pitcher : y y m f m ; jar : d g v ; decanter : v v o m ; SEPARATE add one violet to jar	pitcher : y y m f m ; jar : d g v v ; decanter : v v o m ;
mug : o o ; urn : e e c ; decanter : c c y ; SEPARATE add four red to urn	mug : o o ; urn : e e c r r r r ; decanter : c c y ;
mug : f ; jar : b h h b ; SEPARATE add four purple to jar	mug : f ; jar : b h h b p p p p ;
canister : g g b r r ; glass : d d c b b ; SEPARATE add one fuchsia to canister	canister : g g b r r f ; glass : d d c b b ;
jug : b h b h ; flagon : v v ; SEPARATE add one violet to jug	jug : b h b h v ; flagon : v v ;
flagon : y y ; flagon : a a ; cup : r ; SEPARATE add one violet to last flagon	flagon : y y ; flagon : a a v ; cup : r ;
flagon : r ; jar : o o c c ; SEPARATE add one magenta to flagon	flagon : r m ; jar : o o c c ;
burette : g ; thermos : m c m g c ; beaker : h h o p p ; SEPARATE add one harlequin to beaker	burette : g ; thermos : m c m g c ; beaker : h h o p p h ;
canister : f d d ; cup : r p a ; urn : c c d d r ; SEPARATE add five harlequin to canister	canister : f d d h h h h h ; cup : r p a ; urn : c c d d r ;
jar : b r b ; glass : e e v ; SEPARATE add six harlequin to glass	jar : b r b ; glass : e e v h h h h h h ;
bottle : o o ; burette : c b ; SEPARATE add six green to burette	bottle : o o ; burette : c b g g g g g g ;
flagon : b m m g ; flask : g o g o ; thermos : b ; SEPARATE add one magenta to thermos	flagon : b m m g ; flask : g o g o ; thermos : b m ;
canister : b b c ; thermos : v h ; SEPARATE add six daffodil to canister	canister : b b c d d d d d d ; thermos : v h ;
decanter : p p ; jar : o o v ; thermos : h o o h ; SEPARATE add five orange to jar	decanter : p p ; jar : o o v o o o o o ; thermos : h o o h ;
mug : c ; thermos : a a e ; flagon : g d g ; SEPARATE add one magenta to flagon	mug : c ; thermos : a a e ; flagon : g d g m ;
thermos : g g v ; jar : a ; thermos : d ; SEPARATE add four red to jar	thermos : g g v ; jar : a r r r r ; thermos : d ;
mug : p o p f ; flagon : b y ; cup : h h v v ; SEPARATE add four purple to mug	mug : p o p f p p p p ; flagon : b y ; cup : h h v v ;
