Input	Output
jug : c d f d ; bottle : o r r a ; beaker : o o ; SEPARATE unmix bottle	jug : c d f d ; bottle : o ; bottle : r r ; bottle : a ; beaker : o o ;
flask : h c h o c o ; burette : a b b ; glass : c b c ; jar : v ; SEPARATE unmix flask	flask : h h ; flask : c c ; flask : o o ; burette : a b b ; glass : c b c ; jar : v ;
urn : c g c ; urn : g g ; bottle : d o ; vessel : m g e ; SEPARATE unmix first urn	urn : c c ; urn : g ; urn : g g ; bottle : d o ; vessel : m g e ;
pitcher : a a h o o ; thermos : c c r ; mug : y ; SEPARATE unmix mug	pitcher : a a h o o ; thermos : c c r ; mug : y ;
burette : p m f ; canister : b b ; SEPARATE unmix canister	burette : p m f ; canister : b b ;
jug : h d o h o ; jar : c c ; jar : y y p g ; jar : e ; SEPARATE unmix jug	jug : h h ; jug : d ; jug : o o ; jar : c c ; jar : y y p g ; jar : e ;
jug : d v v d ; bottle : y f ; decanter : y d c c ; SEPARATE unmix jug	jug : d d ; jug : v v ; bottle : y f ; decanter : y d c c ;
canister : c c h h e ; jug : c c ; SEPARATE unmix jug	canister : c c h h e ; jug : c c ;
canister : c ; mug : a a c ; bottle : a a h h ; vessel : v e v ; SEPARATE unmix canister	canister : c ; mug : a a c ; bottle : a a h h ; vessel : v e v ;
flask : v v ; glass : h g h ; SEPARATE unmix flask	flask : v v ; glass : h g h ;
urn : c v c h h ; burette : f y f ; SEPARATE unmix urn	urn : c c ; urn : v ; urn : h h ; burette : f y f ;
canister : f f p ; vessel : e f e g f ; SEPARATE unmix vessel	canister : f f p ; vessel : e e ; vessel : f f ; vessel : g ;
vessel : f a r r a ; beaker : e p p e ; SEPARATE unmix vessel	vessel : f ; vessel : a a ; vessel : r r ; beaker : e p p e ;
glass : b ; beaker : c h ; SEPARATE unmix glass	glass : b ; beaker : c h ;
glass : d d v v ; cup : v h h ; canister : b c ; mug : c ; SEPARATE unmix cup	glass : d d v v ; cup : v ; cup : h h ; canister : b c ; mug : c ;
jug : d d ; canister : m o ; jug : a ; burette : p a ; SEPARATE unmix burette	jug : d d ; canister : m o ; jug : a ; burette : p ; burette : a ;
thermos : c f c ; mug : b b e r r e ; canister : c c r r h ; SEPARATE unmix thermos	thermos : c c ; thermos : f ; mug : b b e r r e ; canister : c c r r h ;
vessel : g ; glass : b b v ; cup : a a m ; SEPARATE unmix vessel	vessel : g ; glass : b b v ; cup : a a m ;
beaker : h g h m g ; canister : r r a ; SEPARATE unmix beaker	beaker : h h ; beaker : g g ; beaker : m ; canister : r r a ;
burette : p ; bottle : b ; SEPARATE unmix bottle	burette : p ; bottle : b ;
decanter : v ; glass : b f h h ; thermos : b ; SEPARATE unmix glass	decanter : v ; glass : b ; glass : f ; glass : h h ; thermos : b ;
beaker : o r e ; flask : g o ; jug : c ; beaker : c ; SEPARATE unmix jug	beaker : o r e ; flask : g o ; jug : c ; beaker : c ;
bottle : b b ; bottle : a f ; SEPARATE unmix last bottle	bottle : b b ; bottle : a ; bottle : f ;
decanter : f y f ; jar : h o y y ; glass : o ; SEPARATE unmix jar	decanter : f y f ; jar : h ; jar : o ; jar : y y ; glass : o ;
cup : e e m ; canister : g v v ; pitcher : g c ; cup : c a a ; SEPARATE unmix last cup	cup : e e m ; canister : g v v ; pitcher : g c ; cup : c ; cup : a a ;
canister : d d ; canister : m g ; beaker : y r y m ; glass : c v g v c ; SEPARATE unmix glass	canister : d d ; canister : m g ; beaker : y r y m ; glass : c c ; glass : v v ; glass : g ;
flagon : a ; jug : e e ; SEPARATE unmix jug	flagon : a ; jug : e e ;
jug : e e ; canister : o a o a ; jar : c e e g g ; burette : e y r ; SEPARATE unmix jug	jug : e e ; canister : o a o a ; jar : c e e g g ; burette : e y r ;
glass : g e e a g ; decanter : f f e y ; decanter : g ; canister : b b h c h c ; SEPARATE unmix glass	glass : g g ; glass : e e ; glass : a ; decanter : f f e y ; decanter : g ; canister : b b h c h c ;
burette : v g ; canister : f ; flask : p p c c y ; SEPARATE unmix canister	burette : v g ; canister : f ; flask : p p c c y ;
flask : m m ; pitcher : y y ; SEPARATE unmix pitcher	flask : m m ; pitcher : y y ;
glass : d ; jug : d y r r y ; jug : y ; SEPARATE unmix glass	glass : d ; jug : d y r r y ; jug : y ;
canister : d ; thermos : c f f ; bottle : y y a ; SEPARATE unmix bottle	canister : d ; thermos : c f f ; bottle : y y ; bottle : a ;
glass : a a g g ; burette : g o g o ; vessel : b c c y ; SEPARATE unmix vessel	glass : a a g g ; burette : g o g o ; vessel : b ; vessel : c c ; vessel : y ;
cup : e e b b ; glass : p b p b ; burette : c ; SEPARATE unmix burette	cup : e e b b ; glass : p b p b ; burette : c ;
beaker : g g o f ; thermos : o o m ; SEPARATE unmix thermos	beaker : g g o f ; thermos : o o ; thermos : m ;
urn : v g ; pitcher : f f ; vessel : v c v ; urn : c g b ; SEPARATE unmix first urn	urn : v ; urn : g ; pitcher : f f ; vessel : v c v ; urn : c g b ;
flask : y ; urn : e b e f b ; burette : m g ; SEPARATE unmix urn	flask : y ; urn : e e ; urn : b b ; urn : f ; burette : m g ;
beaker : y o o b b ; cup : p d d ; burette : b d v v ; SEPARATE unmix burette	beaker : y o o b b ; cup : p d d ; burette : b ; burette : d ; burette : v v ;
decanter : d ; thermos : h ; beaker : p b b h ; mug : y d v v y ; SEPARATE unmix beaker	decanter : d ; thermos : h ; beaker : p ; beaker : b b ; beaker : h ; mug : y d v v y ;
thermos : v v r ; pitcher : o o ; glass : g d g ; decanter : o c r ; SEPARATE unmix pitcher	thermos : v v r ; pitcher : o o ; glass : g d g ; decanter : o c r ;
jug : c c ; cup : v v ; burette : e e c ; decanter : m a ; SEPARATE unmix jug	jug : c c ; cup : v v ; burette : e e c ; decanter : m a ;
jar : h h ; bottle : m a m a ; jar : c c b ; mug : y y m ; SEPARATE unmix first jar	jar : h h ; bottle : m a m a ; jar : c c b ; mug : y y m ;
vessel : a r r a ; jar : v v ; beaker : y e b y b ; burette : y d y ; SEPARATE unmix beaker	vessel : a r r a ; jar : v v ; beaker : y y ; beaker : e ; beaker : b b ; burette : y d y ;
urn : d e e ; jug : m a m ; SEPARATE unmix urn	urn : d ; urn : e e ; jug : m a m ;
canister : o v ; thermos : d d h v v ; SEPARATE unmix thermos	canister : o v ; thermos : d d ; thermos : h ; thermos : v v ;
mug : d f ; vessel : y y e ; SEPARATE unmix vessel	mug : d f ; vessel : y y ; vessel : e ;
mug : g g ; glass : d ; glass : m c c ; thermos : b b a ; SEPARATE unmix thermos	mug : g g ; glass : d ; glass : m c c ; thermos : b b ; thermos : a ;
urn : c ; urn : v h ; cup : v v ; SEPARATE unmix second urn	urn : c ; urn : v ; urn : h ; cup : v v ;
jar : g ; pitcher : r r g ; SEPARATE unmix pitcher	jar : g ; pitcher : r r ; pitcher : g ;
mug : b ; jar : p a b p b a ; glass : g y y g ; flagon : p ; SEPARATE unmix mug	mug : b ; jar : p a b p b a ; glass : g y y g ; flagon : p ;
glass : g a g ; mug : o o e y y ; flask : a v v o ; SEPARATE unmix flask	glass : g a g ; mug : o o e y y ; flask : a ; flask : v v ; flask : o ;
flask : d ; bottle : b b a a ; canister : a d f d a ; SEPARATE unmix canister	flask : d ; bottle : b b a a ; canister : a a ; canister : d d ; canister : f ;
vessel : p a a p ; flagon : g g b b d ; beaker : b b ; SEPARATE unmix beaker	vessel : p a a p ; flagon : g g b b d ; beaker : b b ;
glass : r r ; cup : h h ; glass : c ; SEPARATE unmix second glass	glass : r r ; cup : h h ; glass : c ;
canister : g v v ; cup : d d ; jug : e y e v ; mug : g e ; SEPARATE unmix mug	canister : g v v ; cup : d d ; jug : e y e v ; mug : g ; mug : e ;
flagon : c y c ; vessel : a f ; SEPARATE unmix vessel	flagon : c y c ; vessel : a ; vessel : f ;
jug : p g a p ; jug : r ; vessel : e e d d ; SEPARATE unmix last jug	jug : p g a p ; jug : r ; vessel : e e d d ;
flask : b o b ; beaker : r c g ; canister : e g g e ; SEPARATE unmix beaker	flask : b o b ; beaker : r ; beaker : c ; beaker : g ; canister : e g g e ;
thermos : v p y ; vessel : b a f ; flagon : y y e ; SEPARATE unmix vessel	thermos : v p y ; vessel : b ; vessel : a ; vessel : f ; flagon : y y e ;
canister : e e ; pitcher : f r ; SEPARATE unmix canister	canister : e e ; pitcher : f r ;
canister : f h f ; mug : o o g y g ; burette : g ; jar : c c ; SEPARATE unmix canister	canister : f f ; canister : h ; mug : o o g y g ; burette : g ; jar : c c ;
cup : v v ; canister : c y y ; burette : a c a c ; SEPARATE unmix canister	cup : v v ; canister : c ; canister : y y ; burette : a c a c ;
mug : c g c ; jug : m c e m ; SEPARATE unmix mug	mug : c c ; mug : g ; jug : m c e m ;
jar : h ; jar : g g e c ; SEPARATE unmix second jar	jar : h ; jar : g g ; jar : e ; jar : c ;
canister : f ; decanter : v h ; SEPARATE unmix canister	canister : f ; decanter : v h ;
canister : v r b r ; urn : r v v r ; burette : m m v ; SEPARATE unmix canister	canister : v ; canister : r r ; canister : b ; urn : r v v r ; burette : m m v ;
canister : p c f c ; bottle : a a ; cup : y y ; jar : o o ; SEPARATE unmix canister	canister : p ; canister : c c ; canister : f ; bottle : a a ; cup : y y ; jar : o o ;
decanter : b p p b a ; bottle : r ; SEPARATE unmix decanter	decanter : b b ; decanter : p p ; decanter : a ; bottle : r ;
burette : g g ; flagon : a ; SEPARATE unmix flagon	burette : g g ; flagon : a ;
glass : c r a c ; decanter : a o a o ; decanter : d ; bottle : y ; SEPARATE unmix second decanter	glass : c r a c ; decanter : a o a o ; decanter : d ; bottle : y ;
cup : r r c ; glass : e e ; decanter : a a e g ; jar : f p f ; SEPARATE unmix decanter	cup : r r c ; glass : e e ; decanter : a a ; decanter : e ; decanter : g ; jar : f p f ;
pitcher : d p p d ; decanter : v v ; beaker : c y c r ; SEPARATE unmix beaker	pitcher : d p p d ; decanter : v v ; beaker : c c ; beaker : y ; beaker : r ;
burette : o o r y y r ; glass : v h b ; pitcher : o ; mug : v p v ; SEPARATE unmix mug	burette : o o r y y r ; glass : v h b ; pitcher : o ; mug : v v ; mug : p ;
flask : v ; jug : y y ; flagon : o o ; SEPARATE unmix flagon	flask : v ; jug : y y ; flagon : o o ;
thermos : v ; pitcher : h h ; cup : g ; jug : c h h g c ; SEPARATE unmix cup	thermos : v ; pitcher : h h ; cup : g ; jug : c h h g c ;
decanter : e ; vessel : m m h h ; cup : r c r ; SEPARATE unmix vessel	decanter : e ; vessel : m m ; vessel : h h ; cup : r c r ;
jug : r o r d ; canister : c a p c a p ; thermos : d f c ; jug : o o ; SEPARATE unmix last jug	jug : r o r d ; canister : c a p c a p ; thermos : d f c ; jug : o o ;
jug : v v o ; vessel : c y y m m ; mug : c h y y c h ; beaker : b ; SEPARATE unmix beaker	jug : v v o ; vessel : c y y m m ; mug : c h y y c h ; beaker : b ;
cup : c ; burette : a e e ; SEPARATE unmix cup	cup : c ; burette : a e e ;
pitcher : g o h o ; cup : d g d ; SEPARATE unmix cup	pitcher : g o h o ; cup : d d ; cup : g ;
pitcher : p m m p ; flagon : r a r a v ; mug : y p p c ; vessel : d ; SEPARATE unmix flagon	pitcher : p m m p ; flagon : r r ; flagon : a a ; flagon : v ; mug : y p p c ; vessel : d ;
flask : c c ; burette : c ; SEPARATE unmix flask	flask : c c ; burette : c ;
jar : h e d h e ; glass : c e e c ; pitcher : d y ; canister : p p ; SEPARATE unmix canister	jar : h e d h e ; glass : c e e c ; pitcher : d y ; canister : p p ;
urn : p v p h h ; vessel : o o ; thermos : r r f ; SEPARATE unmix thermos	urn : p v p h h ; vessel : o o ; thermos : r r ; thermos : f ;
cup : e ; beaker : c a c ; SEPARATE unmix beaker	cup : e ; beaker : c c ; beaker : a ;
mug : g y g y ; flagon : y f y ; jar : h h ; vessel : r p p ; SEPARATE unmix jar	mug : g y g y ; flagon : y f y ; jar : h h ; vessel : r p p ;
decanter : p ; thermos : y ; mug : b r b a ; SEPARATE unmix decanter	decanter : p ; thermos : y ; mug : b r b a ;
jug : a ; vessel : e h b e b ; SEPARATE unmix vessel	jug : a ; vessel : e e ; vessel : h ; vessel : b b ;
urn : c c ; vessel : h ; SEPARATE unmix vessel	urn : c c ; vessel : h ;
thermos : c b o b ; mug : p v v r ; SEPARATE unmix thermos	thermos : c ; thermos : b b ; thermos : o ; mug : p v v r ;
jug : b b ; jug : r ; jar : c h c o h ; beaker : f f ; SEPARATE unmix jar	jug : b b ; jug : r ; jar : c c ; jar : h h ; jar : o ; beaker : f f ;
canister : a b y ; vessel : r ; flagon : a ; SEPARATE unmix canister	canister : a ; canister : b ; canister : y ; vessel : r ; flagon : a ;
thermos : p c c p ; mug : b f ; SEPARATE unmix thermos	thermos : p p ; thermos : c c ; mug : b f ;
vessel : b b ; flagon : y r p y r ; SEPARATE unmix flagon	vessel : b b ; flagon : y y ; flagon : r r ; flagon : p ;
beaker : h h ; pitcher : d a d ; beaker : b ; SEPARATE unmix pitcher	beaker : h h ; pitcher : d d ; pitcher : a ; beaker : b ;
vessel : v f v ; cup : p p m m ; canister : d ; canister : r ; SEPARATE unmix first canister	vessel : v f v ; cup : p p m m ; canister : d ; canister : r ;
canister : m m y ; beaker : y c c f ; burette : o a o a ; thermos : o r r ; SEPARATE unmix burette	canister : m m y ; beaker : y c c f ; burette : o o ; burette : a a ; thermos : o r r ;
glass : c d ; flask : h h ; SEPARATE unmix glass	glass : c ; glass : d ; flask : h h ;
pitcher : e b ; beaker : c a ; urn : v v ; SEPARATE unmix pitcher	pitcher : e ; pitcher : b ; beaker : c a ; urn : v v ;
vessel : h b b f ; jug : f g g ; SEPARATE unmix jug	vessel : h b b f ; jug : f ; jug : g g ;
pitcher : e a a ; jar : g m g ; thermos : r c f c f ; SEPARATE unmix jar	pitcher : e a a ; jar : g g ; jar : m ; thermos : r c f c f ;
mug : g g v ; thermos : c e v c e ; jug : p ; SEPARATE unmix thermos	mug : g g v ; thermos : c c ; thermos : e e ; thermos : v ; jug : p ;
thermos : h y g ; flagon : p p ; canister : v e e ; SEPARATE unmix flagon	thermos : h y g ; flagon : p p ; canister : v e e ;
pitcher : e d e f d f ; pitcher : f p f p ; decanter : p y y ; SEPARATE unmix decanter	pitcher : e d e f d f ; pitcher : f p f p ; decanter : p ; decanter : y y ;
bottle : a ; vessel : b f d b f ; thermos : c c y a y a ; SEPARATE unmix bottle	bottle : a ; vessel : b f d b f ; thermos : c c y a y a ;
glass : f c p f ; flagon : y y ; bottle : m b m b ; SEPARATE unmix glass	glass : f f ; glass : c ; glass : p ; flagon : y y ; bottle : m b m b ;
bottle : r ; decanter : p y y r r ; vessel : d y d c ; SEPARATE unmix bottle	bottle : r ; decanter : p y y r r ; vessel : d y d c ;
flagon : d v v d ; mug : d d ; burette : v o o ; SEPARATE unmix mug	flagon : d v v d ; mug : d d ; burette : v o o ;
canister : m g ; mug : v a ; bottle : p c c p ; SEPARATE unmix bottle	canister : m g ; mug : v a ; bottle : p p ; bottle : c c ;
cup : g e d d ; thermos : g a b ; pitcher : m m ; jar : y d a d y ; SEPARATE unmix pitcher	cup : g e d d ; thermos : g a b ; pitcher : m m ; jar : y d a d y ;
flask : f d f d ; thermos : g y g ; glass : e y m ; glass : c d c d ; SEPARATE unmix thermos	flask : f d f d ; thermos : g g ; thermos : y ; glass : e y m ; glass : c d c d ;
jug : f f ; glass : b b c m ; beaker : a a c c f ; SEPARATE unmix jug	jug : f f ; glass : b b c m ; beaker : a a c c f ;
burette : a m m a c c ; pitcher : e e a o ; cup : a c c r r ; SEPARATE unmix cup	burette : a m m a c c ; pitcher : e e a o ; cup : a ; cup : c c ; cup : r r ;
beaker : p p ; flagon : b b ; flask : r r ; canister : y g g ; SEPARATE unmix beaker	beaker : p p ; flagon : b b ; flask : r r ; canister : y g g ;
thermos : r r ; decanter : p p ; SEPARATE unmix decanter	thermos : r r ; decanter : p p ;
jar : v v f f ; bottle : o b b ; thermos : y y ; pitcher : v m m v ; SEPARATE unmix jar	jar : v v ; jar : f f ; bottle : o b b ; thermos : y y ; pitcher : v m m v ;
flask : e v e d ; pitcher : v f r r ; beaker : g g ; SEPARATE unmix beaker	flask : e v e d ; pitcher : v f r r ; beaker : g g ;
thermos : o ; canister : o r o ; glass : p m p ; SEPARATE unmix canister	thermos : o ; canister : o o ; canister : r ; glass : p m p ;
flagon : o g o y y g ; beaker : a b p a b ; SEPARATE unmix flagon	flagon : o o ; flagon : g g ; flagon : y y ; beaker : a b p a b ;
mug : v c v c ; flagon : h h e e ; SEPARATE unmix mug	mug : v v ; mug : c c ; flagon : h h e e ;
cup : a a r f r ; jar : d b a a ; burette : v v ; bottle : p p a ; SEPARATE unmix jar	cup : a a r f r ; jar : d ; jar : b ; jar : a a ; burette : v v ; bottle : p p a ;
jug : r f f h ; flask : h ; jug : b ; SEPARATE unmix second jug	jug : r f f h ; flask : h ; jug : b ;
pitcher : y p f ; canister : p p m v ; SEPARATE unmix pitcher	pitcher : y ; pitcher : p ; pitcher : f ; canister : p p m v ;
decanter : c r v r ; urn : r ; pitcher : v b v o b ; SEPARATE unmix pitcher	decanter : c r v r ; urn : r ; pitcher : v v ; pitcher : b b ; pitcher : o ;
beaker : a e a e ; pitcher : p h y p ; canister : f r f r ; SEPARATE unmix beaker	beaker : a a ; beaker : e e ; pitcher : p h y p ; canister : f r f r ;
burette : m m ; burette : d d ; decanter : d r ; jar : e g e ; SEPARATE unmix last burette	burette : m m ; burette : d d ; decanter : d r ; jar : e g e ;
mug : a b a ; beaker : h ; SEPARATE unmix mug	mug : a a ; mug : b ; beaker : h ;
vessel : r r v ; flask : p g g ; SEPARATE unmix vessel	vessel : r r ; vessel : v ; flask : p g g ;
canister : y c o c y ; thermos : m ; SEPARATE unmix canister	canister : y y ; canister : c c ; canister : o ; thermos : m ;
glass : v v d h ; beaker : f f ; flask : v g b ; burette : d h ; SEPARATE unmix beaker	glass : v v d h ; beaker : f f ; flask : v g b ; burette : d h ;
vessel : b e e ; mug : h e a a ; flagon : y y ; flask : y v y ; SEPARATE unmix vessel	vessel : b ; vessel : e e ; mug : h e a a ; flagon : y y ; flask : y v y ;
cup : o g d g ; bottle : f e r r f ; flagon : y r r ; SEPARATE unmix flagon	cup : o g d g ; bottle : f e r r f ; flagon : y ; flagon : r r ;
glass : y ; urn : y p ; burette : r ; SEPARATE unmix burette	glass : y ; urn : y p ; burette : r ;
vessel : y f ; pitcher : p ; flask : p r p ; SEPARATE unmix pitcher	vessel : y f ; pitcher : p ; flask : p r p ;
bottle : e e ; beaker : v a f v a ; canister : m v m ; bottle : f g f g y ; SEPARATE unmix beaker	bottle : e e ; beaker : v v ; beaker : a a ; beaker : f ; canister : m v m ; bottle : f g f g y ;
decanter : d b d r ; pitcher : a a v ; SEPARATE unmix pitcher	decanter : d b d r ; pitcher : a a ; pitcher : v ;
pitcher : y ; cup : e o ; bottle : p c p m ; SEPARATE unmix bottle	pitcher : y ; cup : e o ; bottle : p p ; bottle : c ; bottle : m ;
glass : o a a o ; thermos : d ; burette : o a ; burette : o o ; SEPARATE unmix thermos	glass : o a a o ; thermos : d ; burette : o a ; burette : o o ;
vessel : m a m ; flagon : o c b ; bottle : p p ; SEPARATE unmix bottle	vessel : m a m ; flagon : o c b ; bottle : p p ;
urn : d ; beaker : a a h ; SEPARATE unmix urn	urn : d ; beaker : a a h ;
pitcher : f a a b ; glass : g g ; decanter : r ; pitcher : p y p y ; SEPARATE unmix first pitcher	pitcher : f ; pitcher : a a ; pitcher : b ; glass : g g ; decanter : r ; pitcher : p y p y ;
urn : g ; canister : d m m d ; flask : g m m d ; burette : e ; SEPARATE unmix canister	urn : g ; canister : d d ; canister : m m ; flask : g m m d ; burette : e ;
cup : b c m b c ; glass : a ; SEPARATE unmix cup	cup : b b ; cup : c c ; cup : m ; glass : a ;
thermos : v v ; thermos : c c y ; SEPARATE unmix first thermos	thermos : v v ; thermos : c c y ;
jar : p c p ; jug : g ; canister : h ; SEPARATE unmix jar	jar : p p ; jar : c ; jug : g ; canister : h ;
jar : o h ; mug : p p c ; SEPARATE unmix jar	jar : o ; jar : h ; mug : p p c ;
canister : d r d ; pitcher : c v c v f ; SEPARATE unmix canister	canister : d d ; canister : r ; pitcher : c v c v f ;
canister : o m y o ; beaker : a a ; bottle : v v ; SEPARATE unmix canister	canister : o o ; canister : m ; canister : y ; beaker : a a ; bottle : v v ;
mug : f f p ; pitcher : g ; SEPARATE unmix pitcher	mug : f f p ; pitcher : g ;
canister : d y d p p ; decanter : r ; SEPARATE unmix canister	canister : d d ; canister : y ; canister : p p ; decanter : r ;
thermos : v ; glass : m m p b ; decanter : g g ; burette : g v v m ; SEPARATE unmix burette	thermos : v ; glass : m m p b ; decanter : g g ; burette : g ; burette : v v ; burette : m ;
mug : p m m o ; glass : r r ; jug : b y ; SEPARATE unmix jug	mug : p m m o ; glass : r r ; jug : b ; jug : y ;
jug : a a ; decanter : f f p ; SEPARATE unmix decanter	jug : a a ; decanter : f f ; decanter : p ;
thermos : c e e ; canister : g r g ; SEPARATE unmix canister	thermos : c e e ; canister : g g ; canister : r ;
burette : v o y v ; jug : m m g ; SEPARATE unmix jug	burette : v o y v ; jug : m m ; jug : g ;
beaker : c c d ; jar : c c ; beaker : a c a c ; SEPARATE unmix first beaker	beaker : c c ; beaker : d ; jar : c c ; beaker : a c a c ;
canister : g ; glass : r y p p r y ; SEPARATE unmix canister	canister : g ; glass : r y p p r y ;
pitcher : g ; canister : d d y y ; cup : d d c o o c ; SEPARATE unmix cup	pitcher : g ; canister : d d y y ; cup : d d ; cup : c c ; cup : o o ;
vessel : v v ; burette : o g ; thermos : p p ; canister : g g f b b ; SEPARATE unmix burette	vessel : v v ; burette : o ; burette : g ; thermos : p p ; canister : g g f b b ;
mug : c e e ; bottle : v m o ; cup : r p r ; SEPARATE unmix bottle	mug : c e e ; bottle : v ; bottle : m ; bottle : o ; cup : r p r ;
cup : d f d p f ; mug : r f v ; SEPARATE unmix cup	cup : d d ; cup : f f ; cup : p ; mug : r f v ;
beaker : b e e b ; flask : m a r m r ; flagon : g g ; jar : p ; SEPARATE unmix flagon	beaker : b e e b ; flask : m a r m r ; flagon : g g ; jar : p ;
burette : d h h ; pitcher : r ; burette : y f ; SEPARATE unmix pitcher	burette : d h h ; pitcher : r ; burette : y f ;
flask : g p p y ; canister : b ; bottle : a a ; SEPARATE unmix flask	flask : g ; flask : p p ; flask : y ; canister : b ; bottle : a a ;
pitcher : v o o ; cup : f r r ; SEPARATE unmix pitcher	pitcher : v ; pitcher : o o ; cup : f r r ;
vessel : r r y y ; mug : b ; burette : d p d p ; SEPARATE unmix burette	vessel : r r y y ; mug : b ; burette : d d ; burette : p p ;
beaker : a g p p ; flagon : b a ; glass : p p f a f ; thermos : d d e ; SEPARATE unmix beaker	beaker : a ; beaker : g ; beaker : p p ; flagon : b a ; glass : p p f a f ; thermos : d d e ;
jar : o o e ; glass : e ; flask : d d o ; SEPARATE unmix glass	jar : o o e ; glass : e ; flask : d d o ;
thermos : p f p f ; beaker : e e r ; flask : h v g h g v ; SEPARATE unmix flask	thermos : p f p f ; beaker : e e r ; flask : h h ; flask : v v ; flask : g g ;
jar : r h h r e ; decanter : g d d ; jug : y h d d y ; SEPARATE unmix jar	jar : r r ; jar : h h ; jar : e ; decanter : g d d ; jug : y h d d y ;
mug : p c c h ; vessel : o p p o ; flask : p ; jug : o b ; SEPARATE unmix flask	mug : p c c h ; vessel : o p p o ; flask : p ; jug : o b ;
flask : f f ; pitcher : o o r m m ; SEPARATE unmix pitcher	flask : f f ; pitcher : o o ; pitcher : r ; pitcher : m m ;
thermos : y y e a a ; mug : b h ; mug : m m p c c ; SEPARATE unmix first mug	thermos : y y e a a ; mug : b ; mug : h ; mug : m m p c c ;
bottle : a g a ; decanter : a ; pitcher : f r c r c ; burette : y v m m y v ; SEPARATE unmix decanter	bottle : a g a ; decanter : a ; pitcher : f r c r c ; burette : y v m m y v ;
pitcher : a b f f ; flask : g e e ; decanter : m m o y ; jar : h b f f ; SEPARATE unmix jar	pitcher : a b f f ; flask : g e e ; decanter : m m o y ; jar : h ; jar : b ; jar : f f ;
jar : d f f d ; vessel : d d f ; urn : v v ; pitcher : a ; SEPARATE unmix vessel	jar : d f f d ; vessel : d d ; vessel : f ; urn : v v ; pitcher : a ;
jug : m o o ; urn : c d b b ; canister : b r ; cup : y y ; SEPARATE unmix urn	jug : m o o ; urn : c ; urn : d ; urn : b b ; canister : b r ; cup : y y ;
